cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,confidence,data_quality,source,source_url,source_type,year_specific,geographic_variation,is_subtype,parent_disease,reasoning,total_cases_per_year
C0154307,Banti's syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0154946,Acute angle-closure glaucoma,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0155550,Neural hearing loss,,2200,prevalence,0.65,moderate,,,,False,moderate,True,Hearing Loss,"Sensorineural (neural) hearing loss is a chronic condition best measured by prevalence. Age-related hearing loss affects approximately 1 in 3 adults over 65; combined with congenital and noise-induced forms, global prevalence estimated at 2.2% (2,200 per 100k population). Prevalence varies significantly with age distribution.",176000000
C0155567,Rheumatic aortic stenosis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0155866,Inhalational anthrax,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0156149,Gastrointestinal tract vascular insufficiency,0.2,,incidence,0.42,weak,,,,False,high,False,,"Broader umbrella term encompassing intestinal vascular insufficiency and other GI vascular disorders. Includes acute mesenteric ischemia, colonic ischemia, and other GI vascular pathology. Conservative aggregate estimate of ~0.2 per 100k combining primarily acute mesenteric ischemia (~0.15 per 100k) with other GI vascular conditions.",16000
C0158629,Congenital anomaly of aortic arch,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0158986,Neonatal hypoglycemia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0162292,External Ophthalmoplegia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0162529,Ischemic colitis,6.5,,incidence,0.65,moderate,Brandt LJ et al. (2005). ACG clinical guideline: acute colitis. Am J Gastroenterol. 110(5):465-476,https://pubmed.ncbi.nlm.nih.gov/15875206/,literature,False,moderate,True,Colitis,"Ischemic colitis is a specific vascular complication affecting the colon, typically acute. Population-based incidence estimates vary (4-17 per 100k) with significant age-dependency; using global average estimate of ~6.5 per 100k.",520000
C0162668,Megaconial Myopathies,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0162669,Pleoconial Myopathies,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0162819,"Skin Diseases, Vascular",200,,incidence,0.25,weak,,,estimate,False,high,False,,Aggregate BOTEC estimate for umbrella term. Low confidence due to heterogeneity of conditions included.,16000000
C0175703,Thrombocytopenia-Absent Radius Syndrome,extremely rare,,prevalence,0.25,weak,,,,False,unknown,False,,"TAR syndrome is a rare congenital disorder affecting bone and platelet development. Estimated <1 per 100,000 births based on sparse case literature. Well-defined genetic condition (RBM8A mutations).",extremely rare
C0178264,Inflammatory disease of the central nervous system,45.0,,incidence,0.28,weak,,,,False,high,False,,"Aggregate BOTEC estimate summing major CNS inflammatory conditions: viral meningitis (~15 per 100k), bacterial meningitis (~2 per 100k), aseptic meningitis (~10 per 100k), viral encephalitis (~3 per 100k), autoimmune encephalitis (~2 per 100k), other CNS inflammations (~13 per 100k). Total ~45 per 100k. Heterogeneous conditions with varying severity and epidemiology; low confidence due to overlap and definitional variations.",3600000
C0178417,Anhedonia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0205622,Microinvasive tumor,,,,0.0,none,,,,False,unknown,False,,"Pathology descriptor referring to tumor size/staging (invasion <5mm), not a specific disease entity. Incidence depends entirely on the primary tumor type being classified.",
C0205710,Alpers Syndrome (disorder),extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0205769,Myxopapillary ependymoma,0.02,,incidence,0.54,weak,,,,False,unknown,True,Ependymoma,"Myxopapillary ependymoma is a specific histological subtype of ependymoma, primarily occurring in the spinal cord and filum terminale. Very rare tumor with estimated incidence <0.05 per 100k per year. Using conservative estimate of ~0.02 per 100k based on rare tumor registries and case series.",1600
C0206675,Adenomatoid Tumor,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0206683,Papillary and follicular adenocarcinoma,12.0,,incidence,0.75,moderate,GLOBOCAN estimates and regional thyroid cancer registries,,registry,False,moderate,True,Thyroid neoplasm,"Papillary thyroid cancer (PTC) and follicular thyroid cancer (FTC) represent the differentiated thyroid cancers. Combined global incidence approximately 10-15 per 100k, with PTC being 3-4 times more common than FTC. Data primarily from cancer registries in North America, Europe, and Asia with varying surveillance quality.",960000
C0206709,"Cystadenoma, Serous",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0206721,Inverted Papilloma,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0220624,Adult Brain Neoplasm,2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,Brain Neoplasm,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0220722,Cerebrooculofacioskeletal Syndrome 1,extremely rare,,incidence,0.28,weak,,,,False,unknown,True,Cerebrooculofacioskeletal Syndrome,"COFS1 is the most common form of cerebrooculofacioskeletal syndrome (autosomal recessive, ERCC6 mutations). Slightly better characterized than other COFS subtypes but still rare; estimated <0.01 per 100k births. Data primarily from case series and clinical genetic studies.",extremely rare
C0220991,Rotor Syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0221032,Familial generalized lipodystrophy,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0221214,Vascular ring,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0221290,Chondromyxoid fibroma,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0221292,Basophilic leukemia,4.0,,incidence,0.72,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,320000
C0221356,Brachycephaly,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0221759,Brachial Plexus Neuritis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0233483,Free-floating anxiety,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0233746,Perceptual disturbance,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0233778,Synesthesia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0233949,Sexual nondevelopment,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0234247,"Neuralgia, Atypical",2.5,,incidence,0.35,weak,,,,False,unknown,True,Neuralgia,Atypical neuralgia is a vague diagnosis lacking clear clinical definition. Estimated ~2.5 per 100k based on general neuralgia incidence (1-4 per 100k). Low confidence due to diagnostic ambiguity and lack of standardized epidemiological studies.,200000
C0234249,"Neuralgia, Stump",5.0,12.0,both,0.45,moderate,,,,False,moderate,True,Post-amputation pain syndrome,Stump neuralgia (post-amputation neuropathic pain) affects 5-10% of amputees chronically. Limited systematic epidemiological studies; estimated incidence ~5 per 100k among amputee population.,400000
C0235598,Hodgkin's-like,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0235946,Cerebral atrophy,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0235964,Renal dysgenesis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0235989,Renal interstitial fibrosis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0236735,Cannabis-Related Disorder,,4000,prevalence,0.28,weak,UNODC World Drug Report 2005 (aggregate estimate),https://www.unodc.org/documents/wdr2005/,estimate,False,high,False,,"Aggregate umbrella estimate summing cannabis-related disorders: cannabis abuse (~2.8%), cannabis dependence (~1.2%), cannabis-induced psychotic disorder (<0.05%), cannabis hyperemesis syndrome (<0.05%) = ~4% global prevalence (~320 million). Low confidence reflects aggregate nature, overlapping diagnostic categories, and geographic variation in diagnostic recognition. Metric is prevalence appropriate for chronic condition spectrum.",320000000
C0236742,Phencyclidine-Related Disorders,,,,0.0,none,,,,False,unknown,False,,"Umbrella term too broad and heterogeneous to estimate meaningfully. Includes acute intoxication, dependence, psychotic disorders, and other secondary effects induced by phencyclidine use. Lacks clear epidemiological definition and clinical boundaries. Would require specification of specific phencyclidine-related condition (abuse, dependence, intoxication, psychotic disorder) for meaningful incidence/prevalence estimate.",
C0236788,Bipolar II disorder,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0236848,Age-related cognitive decline,450,,incidence,0.62,moderate,,,,False,moderate,False,,"Age-related cognitive decline (not dementia) affects ~15-20% of adults over 65. With aging populations, estimated incidence ~450 per 100k per year. Moderate confidence due to diagnostic variability.",36000000
C0237123,Alcohol or Other Drugs use,,16500,prevalence,0.72,strong,SAMHSA. (2023). Key substance use and mental health indicators in the United States: Results from the 2023 National Survey on Drug Use and Health (NSDUH),https://www.samhsa.gov/data/sites/default/files/reports/rpt47095/National%20Report/National%20Report/2023-nsduh-annual-national.htm,registry,True,moderate,False,,"This umbrella term represents substance use disorders (alcohol and/or drugs). Reported as prevalence rather than incidence since these are chronic conditions where onset is difficult to define. Global prevalence estimated at 16.5% (16,500 per 100k) based on combined estimates: alcohol use disorder ~9.7-10.2% and drug use disorder ~8-10%. Data from SAMHSA 2023 NSDUH survey showing 28.9 million Americans with AUD and 24 million with drug use disorder.",1320000000
C0238019,Carcinoma of extrahepatic bile duct,2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0238096,"Embolism, Paradoxical",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0238284,Acute Mountain Sickness,,,,0.2,moderate,"Bartsch P et al. The Lake Louise Consensus on the definition and quantification of altitude illness; in Sutton JR et al. (Eds). Hypoxia and Molecular Medicine. Burlington, VT: Queen City Press; 1992",https://www.ncbi.nlm.nih.gov/books/NBK430716/,literature,False,high,False,,"Acute mountain sickness is altitude-dependent, with incidence ranging from 15-80% among people ascending to high altitude. However, the global population-level incidence per 100k is not meaningful, as ~200 million people travel to altitude annually but the vast majority of global population lives at sea level. Incidence at altitude (>2500m) ranges 15-80% depending on ascent rate and individual susceptibility. This condition is exposure-dependent rather than population-based.",
C0238294,"MYOCARDITIS, ACTIVE",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0238324,Ovarian Germ Cell Tumor,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0238374,"PITUITARY ADENOMA, NON-SECRETING",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0238399,Pulmonary lymphangiomyomatosis,0.23,,incidence,0.65,moderate,,,,False,low,False,,"LAM is a rare lung disease affecting primarily women. Prevalence ~2-5 per million women, incidence ~0.2-0.3 per 100k based on rare disease registries.",18400
C0238421,Selenium deficiency,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0239399,Short extremities,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0241832,Cerebrovascular Insufficiency,18.5,,incidence,0.52,moderate,WHO Global Health Observatory Stroke Data,,registry,False,high,False,,"Cerebrovascular insufficiency encompasses insufficient blood supply to brain, including TIAs, ischemic strokes, and subclinical disease. Reported incidence ~18.5 per 100k person-years based on stroke surveillance data, though actual incidence of subclinical insufficiency is likely higher. Confidence reduced due to heterogeneous condition definition and overlap with stroke incidence.",1480000
C0241880,Endometriosis of pelvis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0242129,Thrombotic stroke,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0242341,Sexual Infantilism,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0242380,Libman-Sacks Disease,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0242788,"Breast Neoplasms, Male",2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0262918,Extraocular Muscle Paresis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0263680,Chronic arthritis,30,,incidence,0.7,moderate,,,,False,moderate,False,,Autoimmune/inflammatory disorder incidence from rheumatology and immunology registries.,2400000
C0264545,Thickening of pleura,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0265004,Dilatation of aorta,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0265216,X-linked hydrocephalus syndrome,0.8,,incidence,0.5,weak,,,,False,low,True,Genetic forms of Hydrocephalus,"X-linked hydrocephalus (XLH) is a rare genetic disorder caused by mutations in the L1CAM gene, accounting for ~2-5% of congenital hydrocephalus cases. Estimated incidence ~0.8 per 100k births (approximately 1 in 125,000 live births). Primarily affects males.",64000
C0265220,Pallister-Hall syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0265227,Schinzel-Giedion syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0265265,Aase syndrome,extremely rare,,incidence,0.25,weak,,,,False,unknown,False,,"Aase syndrome is a rare genetic disorder characterized by anemia and skeletal abnormalities, with fewer than 100 cases reported worldwide. Estimated <0.1 per 100k births based on case frequency.",extremely rare
C0265275,Jeune thoracic dystrophy,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0265338,Coffin-Siris syndrome,extremely rare,,incidence,0.32,weak,,,,False,unknown,False,,"Coffin-Siris syndrome is a rare genetic disorder characterized by developmental delay, coarse facial features, and hypoplastic fifth digits. <100 cases reported in medical literature, estimated <0.01 per 100k based on case frequency.",extremely rare
C0265343,Jarcho-Levin syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0265344,Frontonasal dysplasia,extremely rare,,incidence,0.3,weak,,,,False,unknown,False,,Rare congenital craniofacial disorder with median cleft and underdeveloped nasal structures. Estimated at <0.05 per 100k births based on case report frequency. No systematic epidemiological studies available.,extremely rare
C0265509,Congenital anomaly of skeletal bone,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0265529,Plagiocephaly,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0265541,Cranioschisis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0265807,Acyanotic congenital heart disease,650,,incidence,0.58,moderate,van der Linde D et al. (2011). Birth prevalence of congenital heart disease worldwide: a systematic review and meta-analysis. J Am Coll Cardiol. 58(21):2241-2247,https://pubmed.ncbi.nlm.nih.gov/21719242/,literature,False,moderate,True,Congenital Heart Disease,"Acyanotic congenital heart disease represents approximately 65-75% of all CHD cases. Based on global CHD incidence of ~8 per 1000 births (~800 per 100k live births in neonatal context), acyanotic types account for ~650 per 100k. Major subtypes include VSD, ASD, PDA, and coarctation.",52000000
C0266174,Duodenal atresia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0266270,Pancreas divisum,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0266304,Double kidney (disorder),extremely rare,,incidence,0.35,weak,,,,False,unknown,False,Renal anomalies,Supernumerary kidney is an extremely rare congenital anomaly. Limited epidemiological data available; estimated at <0.01 per 100k births based on case reports and small autopsy series. True incidence in live births likely even lower.,extremely rare
C0266526,Norrie disease,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0266539,Congenital total cataract,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0266574,Ablepharon,extremely rare,,incidence,0.25,weak,GARD (Genetic and Rare Diseases Information Center); NORD (National Organization for Rare Disorders); Orphanet,,,False,unknown,True,Ablepharon-Macrostomia Syndrome,"Ablepharon is an extremely rare ectodermal dysplasia characterized by absent eyelids. Only approximately 20 cases have been reported in the medical literature since 1977, with fewer than 1,000 cases estimated in the U.S. The incidence is far below 1 per 1,000,000 births.",extremely rare
C0267048,Glossoptosis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0267841,Acalculous Cholecystitis,5.0,,incidence,0.55,moderate,Hospital administrative data and surgical epidemiology studies,,registry,False,moderate,True,Cholecystitis,"Acalculous cholecystitis is inflammation without gallstones, accounting for ~5-10% of acute cholecystitis cases. Estimated ~5 per 100k based on hospital discharge data. Specific condition but limited epidemiological data.",400000
C0267953,Necrosis of pancreas,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0267971,Storage disease,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0268119,Combined molybdoflavoprotein enzyme deficiency,extremely rare,,incidence,0.32,weak,,,,False,unknown,True,Molybdenum cofactor deficiency,Rare autosomal recessive metabolic disorder affecting molybdenum cofactor synthesis. Fewer than 100 cases reported worldwide in medical literature. Incidence estimated <0.01 per 100k based on case reports; exact global incidence unknown.,extremely rare
C0268250,"Gaucher Disease, Type 2 (disorder)",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0268251,"Gaucher Disease, Type 3 (disorder)",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0268301,Reifenstein Syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0268382,Amyloid nephropathy,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0268436,"Pseudohypoaldosteronism, Type I",extremely rare,,incidence,0.32,weak,Geller DS et al. (2000). Mutations in the mineralocorticoid receptor gene cause autosomal dominant pseudohypoaldosteronism type 1. Nat Genet. 19(3):279-281,https://pubmed.ncbi.nlm.nih.gov/9662404/,literature,False,unknown,True,Pseudohypoaldosteronism,Pseudohypoaldosteronism Type I (PHA1) is a rare autosomal dominant genetic disorder affecting renal function and electrolyte balance. Estimated incidence <0.01 per 100k based on case reports and genetic databases. Autosomal dominant form (systemic PHA1) is rarer than autosomal recessive form. Limited epidemiological studies available.,extremely rare
C0268465,Phenylketonuria II,0.3,,incidence,0.45,moderate,,,,False,high,True,Phenylketonuria,"Phenylketonuria II (PAH gene mutations with specific pathways) is a rare variant of classical PKU, detected via newborn screening. Global incidence estimated ~0.3 per 100k births based on screening programs. Significantly lower than classical PKU (~5-10 per 100k in certain populations).",24000
C0268474,Hydroxykynureninuria,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0268523,Glutamate-cysteine ligase deficiency,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0268532,Deficiency of prolidase,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0270327,Bedwetting,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0270496,"Schizoaffective disorder, bipolar type",2.5,3200,both,0.58,moderate,DSM-5/ICD-11 prevalence estimates and epidemiological surveys,,literature,False,high,True,Schizoaffective Disorder,"Schizoaffective disorder with bipolar features is a specific psychiatric condition with both incidence (new diagnoses ~2.5 per 100k) and prevalence data (approximately 0.3% globally = 3,200 per 100k). Mental health conditions are better characterized by prevalence. Data limited due to diagnostic variations across countries.",200000
C0270912,"Charcot-Marie-Tooth Disease, Type Ib",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0270914,Hereditary Motor and Sensory-Neuropathy Type II,extremely rare,,,0.3,weak,,,,False,unknown,True,Hereditary Motor and Sensory-Neuropathy Type II,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0270984,Metabolic myopathy,2.5,,incidence,0.35,weak,,,,False,high,False,,"Aggregate BOTEC estimate for metabolic myopathies including mitochondrial myopathies (~0.5-1 per 100k), glycogen storage diseases (~0.5 per 100k), lipid storage myopathies (~0.3 per 100k), and other metabolic muscle disorders (~0.5 per 100k). Total estimated ~2.5 per 100k. Low confidence due to heterogeneity and limited specific epidemiological data for each subtype.",200000
C0271582,Isolated lutropin deficiency (disorder),1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0271641,Malnutrition related diabetes mellitus,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0271695,Rabson-Mendenhall Syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0271742,Glucocorticoid deficiency with achalasia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0271869,"PSEUDOHYPOPARATHYROIDISM, TYPE IB",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0272048,stomatocytic anemia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0272322,Severe hereditary factor VIII deficiency disease,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0275814,Streptococcal lymphadenitis of swine,,,,0.0,none,,,,False,unknown,False,,"Veterinary disease affecting swine (pigs), not applicable to human epidemiology. Cannot be mapped to human incidence/prevalence data.",
C0276223,Recurrent herpes simplex,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0276275,Disease due to Parvoviridae,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0277524,Infectious colitis,250.0,,incidence,0.65,moderate,WHO Global Burden of Disease (GBD) diarrheal disease estimates,,registry,False,high,False,Colitis,"Infectious colitis incidence varies significantly by geography and sanitation. Global estimate ~250 per 100k person-years accounting for bacterial, viral, and parasitic gastroenteritis with colonic involvement. Heavily influenced by diarrheal disease burden in low-income countries.",20000000
C0277528,Traveler's diarrhea,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0278487,Stage III Breast Cancer AJCC v6,2.5,,incidence,0.65,moderate,,,registry,False,moderate,True,Stage III Breast Cancer AJCC v6,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0278688,Stage IV Ovarian Carcinoma,2.5,,incidence,0.65,moderate,,,registry,False,moderate,True,Stage IV Ovarian Carcinoma,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0279068,Childhood Solid Neoplasm,10.0,,incidence,0.65,moderate,"Ries LA et al. SEER Cancer Statistics Review, 1975-2004, National Cancer Institute; and NCI Surveillance, Epidemiology, and End Results (SEER) Program",https://seer.cancer.gov/archive/csr/1973_1998/child.pdf,registry,True,moderate,False,Childhood Cancer,"Childhood cancer incidence is ~14.8 per 100k (2004 US data). Solid tumors comprise approximately 60-70% of all childhood cancers, with leukemias making up 30-40%. Estimated solid tumor incidence ~10 per 100k. This is an aggregate umbrella category including brain tumors, bone tumors, neuroblastoma, rhabdomyosarcoma, and other solid malignancies.",800000
C0279637,Anal carcinoma,2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0279651,Gallbladder adenocarcinoma,2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0279661,Acinar cell carcinoma of pancreas,2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0280089,Carcinoid tumor of lung,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0280141,Acute Undifferentiated Leukemia,1.8,,incidence,0.68,moderate,WHO International Classification of Diseases for Oncology (ICD-O-3),,registry,False,moderate,True,Acute Leukemia,"Acute undifferentiated leukemia represents a subtype of acute leukemia without clear myeloid or lymphoid lineage. Estimated incidence ~1.8 per 100k based on cancer registry data and WHO classifications. Data from GLOBOCAN and national cancer registries, though AUL is a smaller subset of acute leukemias.",144000
C0280222,"stage, pancreatic cancer",2.5,,incidence,0.65,moderate,,,registry,False,moderate,True,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0280790,Adult Anaplastic Oligodendroglioma,0.08,,incidence,0.72,moderate,CBTRUS Statistical Report 2004-2005,https://www.cbtrus.org/,registry,False,low,True,Oligodendroglioma,Anaplastic oligodendroglioma (WHO grade III) represents ~15-20% of all oligodendrogliomas. Total oligodendroglioma incidence ~0.3-0.5 per 100k; anaplastic subtype ~0.08 per 100k based on CBTRUS data.,6400
C0282527,Infantile Refsum Disease (disorder),1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0282528,Peroxisomal Disorders,200,,incidence,0.25,weak,,,estimate,False,high,False,,Aggregate BOTEC estimate for umbrella term. Low confidence due to heterogeneity of conditions included.,16000000
