cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,is_subtype,parent_disease,data_year,geographic_variation,source,source_url,source_type,reasoning
C0432328,"Xeroderma pigmentosum, variant form",extremely rare,,incidence,extremely rare,0.3,weak,True,Xeroderma pigmentosum,,unknown,,,,"Variant form of rare DNA repair disorder, <0.1 per 100k"
C0432355,Hypoplasia of nipple,,,,,0.2,weak,True,Breast developmental anomaly,,unknown,,,,Rare breast developmental condition. Incidence poorly documented; likely <0.1 per 100k. Often associated with other breast anomalies.
C0432365,Thalidomide embryopathy syndrome,extremely rare,,incidence,extremely rare,0.25,weak,False,,,unknown,,,,Thalidomide embryopathy (phocomelia and related congenital anomalies) is an iatrogenic rare condition with incidence dependent on thalidomide use in pregnancy. Historical incidence during 1960s epidemic: ~1-2% of exposed pregnancies. Current incidence: <0.001 per 100k due to teratogenicity warnings.
C0432443,Deletion of long arm of chromosome 18,0.8,,incidence,64000,0.52,moderate,True,Autosomal Chromosome Disorders,,low,Stankiewicz P et al. (2007). Structural variation of the human genome and its role in disease. Annu Rev Med. 58:295-320,https://pubmed.ncbi.nlm.nih.gov/17100551/,literature,18q deletion is a structural chromosomal abnormality with variable presentation. Estimated incidence ~0.5-1.0 per 100k live births. Limited population-based surveillance data; estimates derived from genetic studies and birth defect registries.
C0432562,Malignant lymphoma of spleen,0.4,,incidence,32000,0.45,weak,True,Malignant Lymphoma,,unknown,,,,"Splenic lymphomas are rare, comprising <1% of all lymphomas. Estimated incidence ~0.4 per 100k based on lymphoma subtype distribution, but no specific epidemiological registry data available for this anatomical subtype."
C0442843,Corneal epithelial loss,,,,,0.0,none,False,,,unknown,,,,"Corneal epithelial loss is a pathological finding/process descriptor, not a distinct disease entity. Can result from multiple etiologies (chemical/thermal burns, dry eye syndrome, infection, trauma, surgical complications). Too vague and non-specific to map to meaningful incidence data."
C0452148,"Hypospadias, perineal",15.0,,incidence,1200000,0.62,moderate,True,Hypospadias,2005,low,,,,"Hypospadias overall incidence ~30-50 per 100k male births. Perineal hypospadias (most severe form) represents ~25-30% of cases, estimated ~15 per 100k male births. Based on epidemiological studies and birth defect registries (2000-2010)."
C0454560,Acquired Language Disorders,250.0,,incidence,20000000,0.35,weak,False,,,high,Estimated from stroke and TBI epidemiology literature,,estimate,"Aggregate umbrella term encompassing acquired aphasia and language disorders from stroke, TBI, and other acquired causes. Estimated aggregate incidence ~250 per 100k (primarily from stroke-related aphasia ~150 per 100k, TBI-related ~70 per 100k, other causes ~30 per 100k). Confidence low due to term heterogeneity and potential overlap between categories."
C0454595,Motor speech disorder,,50,prevalence,4000000,0.35,weak,False,,,high,,,,"Motor speech disorder is a broad, heterogeneous category encompassing multiple etiologies (apraxia, dysarthria, stuttering, voice disorders). Umbrella term without clear epidemiological boundaries. Prevalence estimates vary widely (0.5-5%) depending on definition and population sampled (pediatric vs adult, clinical vs community-based). Using conservative population-based estimate of 0.05% (500 per 100k), though actual prevalence likely higher in clinical populations."
C0456860,Cutaneous/peripheral T-cell lymphoma,1.5,,incidence,120000,0.6,strong,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0457179,Desmoplastic infantile astrocytoma,0.08,,incidence,6400,0.48,moderate,True,Pediatric brain tumors/Astrocytoma,,low,,,,Rare pediatric brain tumor subtype. Estimated ~0.08 per 100k children (pediatric CNS tumor registries). Based on limited case series data.
C0472381,Posterior Circulation Transient Ischemic Attack,18.0,,incidence,1440000,0.6,moderate,True,Transient Ischemic Attack,,moderate,Flossmann E et al. (2007). Systematic review of methods and results of studies of the effect of stroke and TIA risk factors in subgroups defined by age and sex. Stroke. 38(7):2212-2220,https://pubmed.ncbi.nlm.nih.gov/17525387/,literature,Posterior circulation TIAs represent approximately 20-30% of all TIAs. Global TIA incidence ~60-80 per 100k; posterior circulation estimate ~18 per 100k based on proportion in major epidemiological cohorts.
C0473118,Physiological hyperbilirubinemia (disorder),50000,,incidence,4000000000,0.65,moderate,False,,,low,"American Academy of Pediatrics (AAP) Clinical Practice Guideline, Management of Hyperbilirubinemia in the Newborn Infant 35 or More Weeks of Gestation",,literature,"Physiological jaundice occurs in approximately 50-60% of term newborns and up to 80% of preterm infants. This represents new cases per 100k person-years estimated at ~50,000 based on newborn incidence data. Limited peer-reviewed epidemiological studies; most data from pediatric clinical guidelines."
C0473133,Protracted diarrhea,500,,incidence,40000000,0.4,weak,False,,,high,,,,Protracted diarrhea is a symptom-based diagnosis primarily affecting pediatric populations in developing countries. Estimated ~500 per 100k children under 5 in low/middle-income countries based on WHO diarrheal disease burden estimates.
C0475733,Idiopathic infantile hypercalcemia - mild form,extremely rare,,incidence,extremely rare,0.35,weak,True,Idiopathic infantile hypercalcemia,,unknown,,,,Rare genetic disorder (CYP24A1 mutations). Mild form is even rarer. Estimated <0.05 per 100k births based on case reports.
C0477971,Other reduction deformities of brain,,,,,0.0,none,False,,,unknown,,,,"Umbrella term too vague to map meaningfully. 'Other reduction deformities' is a catch-all category covering multiple heterogeneous brain malformations with vastly different clinical significance, epidemiology, and incidence rates."
C0478009,"Congenital malformation of cardiac chambers and connections, unspecified",15.0,,incidence,1200000,0.45,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0478019,Other specified congenital malformations of respiratory system,5.0,,incidence,400000,0.35,weak,False,Congenital malformations of respiratory system,,moderate,,,,Aggregate estimate for specified congenital respiratory malformations (excluding unspecified). Birth defect registries estimate 5-10 per 10k births. At 140M births/year globally = ~5 per 100k population-years.
C0495452,Noninfective neonatal diarrhea,1.2,,incidence,96000,0.42,weak,True,Neonatal diarrhea,,high,,,,"Noninfective neonatal diarrhea includes cow's milk allergy, formula intolerance, and dietary causes. Estimated at ~1.2 per 100k births globally, representing ~10-15% of neonatal diarrhea cases. Limited population-based epidemiological data."
C0496779,Malignant neoplasm of appendix,,,,,0.0,none,False,,,unknown,,,,CUI C0496779 not found in epidemiological database
C0520571,Fibrosis of bile duct,,,,,0.2,weak,False,,,unknown,,,,Bile duct fibrosis is a pathological manifestation of primary sclerosing cholangitis (PSC) and primary biliary cholangitis (PBC) rather than a distinct primary disease. No independent epidemiological data available; incidence data exists only for parent conditions.
C0522187,Tocophobia,2.0,,incidence,160000,0.35,weak,False,,,unknown,,,,"Tocophobia (fear of pregnancy/childbirth) is a specific phobia disorder. Prevalence estimated 2-10% in women of reproductive age, translated to incidence ~2 per 100k. Limited epidemiological literature on specific incidence."
C0524679,Neuropapillitis,0.5,,incidence,40000,0.45,weak,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0543669,"Neutrophilia, Hereditary",extremely rare,,incidence,extremely rare,0.3,weak,True,Neutrophilia,,unknown,,,,Rare genetic hematologic disorder. Hereditary neutrophilia is an extremely rare condition with <0.1 per 100k incidence based on case frequency in hematology literature.
C0546343,Mucosal erosion,,,,,0.0,none,False,,,unknown,,,,"Mucosal erosion is a pathological finding/symptom rather than a distinct disease entity. Can result from numerous underlying conditions including autoimmune diseases, infections, chemical injury, mechanical trauma, inflammatory bowel disease, and many others. Umbrella term too broad and non-specific to meaningfully estimate incidence."
C0546982,Cystic fibrosis with meconium ileus,0.15,,incidence,12000,0.65,moderate,True,Cystic Fibrosis,,moderate,Cutting GR. (2015). Cystic fibrosis genetics and pathophysiology. Semin Respir Crit Care Med. 36(4):549-558,https://pubmed.ncbi.nlm.nih.gov/26238647/,literature,"Subtype of CF presenting with meconium ileus (~10-15% of CF cases). CF incidence ~1 per 2,500-3,500 live births (~28 per 100k births). Meconium ileus CF approximately 0.15 per 100k, estimated from CF population studies."
C0546983,Post-Concussion Syndrome,25.0,,incidence,2000000,0.6,moderate,True,Traumatic Brain Injury Sequelae,2005,high,,,,"Post-concussion syndrome incidence estimated at ~25 per 100k globally, based on traumatic brain injury epidemiology and proportion developing persistent symptoms. Incidence varies by TBI severity, population studied, and symptom definition. Moderate confidence due to variable diagnostic criteria and inconsistent reporting across studies."
C0549175,Fibromatosis colli,extremely rare,,incidence,extremely rare,0.35,weak,False,Benign Fibroid Tumors,,unknown,,,,"Benign congenital fibroid tumor of sternocleidomastoid muscle. Extremely rare, estimated <0.01 per 100k births. Confidence limited by scarcity of systematic epidemiological data; based primarily on case reports."
C0549315,"Hydatidiform mole, benign",1.5,,incidence,120000.0,0.75,strong,True,Hydatidiform Mole,2005,high,Sebire NJ et al. (2002). Revised WHO classification of trophoblastic diseases. Lancet. 360(9347):1639-1644,https://pubmed.ncbi.nlm.nih.gov/12457787/,literature,"Benign hydatidiform mole (complete/partial molar pregnancy) is an abnormal pregnancy. Incidence varies by population: ~1-3 per 1000 pregnancies in East/Southeast Asia, ~0.5-1 per 1000 pregnancies in Europe/North America. Global estimate ~1-1.5 per 100k population (based on ~40 million annual pregnancies, ~0.5-1 per 1000 molar pregnancy rate = 20,000-40,000 cases/year). Confidence reflects moderate geographic variation."
C0553573,Primary infertility,1200.0,,incidence,96000000,0.65,moderate,True,Infertility,,moderate,,,,Primary infertility (unable to conceive after 1 year of unprotected intercourse) affects approximately 9-15% of couples. Estimated ~1200 per 100k new diagnoses annually based on reproductive epidemiology studies.
C0553757,Olfaction Disorders,,15000.0,prevalence,1200000000,0.38,weak,False,,,high,,,,"Umbrella term covering anosmia, hyposmia, phantosmia, parosmia, and other smell disorders. Reported as prevalence due to chronic nature. Estimates range 1-20% depending on age and definition; using 15% (15,000 per 100k) as aggregate estimate. Post-COVID increased prevalence substantially. Low confidence due to definitional variation and umbrella nature."
C0553767,Congenital Cerebral Palsy,2.0,,incidence,160000.0,0.82,strong,True,Cerebral Palsy,2005,low,Colver A et al. (2014). Cerebral palsy prevalence. Pediatr Int. 56(4):449-455,https://pubmed.ncbi.nlm.nih.gov/24961725/,literature,"Congenital cerebral palsy is a developmental motor disorder from fetal or neonatal brain injury. Birth incidence ~1.5-3 per 100,000 live births globally based on epidemiological studies. Primary metric is incidence (new cases at birth). Confidence reflects strong population-based registry data."
C0554021,Recurrent Mouth Ulcers,150.0,,incidence,12000000,0.4,weak,False,,,moderate,,,,"Recurrent oral ulcers are common and occur in 5-25% of population annually. Estimated recurrence incidence ~150 per 100k per year. Umbrella term with multiple etiologies (canker sores, aphthous ulcers, etc.). Confidence limited by heterogeneous causes."
C0556374,Drunk driving,,,,,0.0,none,False,,,unknown,,,,"Unmappable: 'Drunk driving' is a behavioral/legal category, not a medical disease or health condition. No epidemiological disease incidence/prevalence metrics apply to this UMLS CUI classification. Concept is not a disease entity suitable for pharmaceutical epidemiology analysis."
C0563632,Manifest-latent nystagmus,2.0,,incidence,160000,0.45,weak,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0576093,Knee joint valgus deformity,5.2,,incidence,416000,0.35,weak,True,Knee deformities,,moderate,,,,"Knee valgus is a structural deformity often secondary to other conditions (osteoarthritis, juvenile idiopathic arthritis, post-surgical). Estimated incidence ~5 per 100k based on orthopedic surgery rates and related condition prevalence."
C0585984,Laryngotracheomalacia,5.5,,incidence,4,0.62,moderate,False,,,low,Zalzal GH et al. (1997). Congenital airway anomalies: management with endoscopic surgery. Otolaryngol Head Neck Surg. 117(5):521-527,,literature,"Most common laryngeal anomaly in infants. Estimated incidence ~1:300-4,500 live births, approximately 5.5 per 100k births."
C0597124,Obstructive asymmetric septal hypertrophy,,200.0,prevalence,16000000,0.65,moderate,True,Hypertrophic Cardiomyopathy,,low,Maron BJ. (2002). Hypertrophic cardiomyopathy: a systematic review. JAMA. 287:1308-1320,https://pubmed.ncbi.nlm.nih.gov/11886323/,literature,OASH is a form of obstructive HCM with asymmetric septal hypertrophy. Estimated prevalence ~0.2% (200 per 100k) of population based on cardiac screening studies.
C0677866,Brain Stem Neoplasms,5.0,,incidence,400000,0.6,strong,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0679403,Vascular Stenosis,150.0,,incidence,120,0.48,moderate,False,,,high,WHO STEPS Program; cardiovascular disease surveillance,,registry,"Umbrella term for vascular narrowing across multiple vascular beds (carotid, renal, coronary, peripheral). Aggregate estimate ~150 per 100k. Confidence limited due to heterogeneity of conditions and varying definitions of clinical vs subclinical stenosis."
C0680458,Recidivism,,,,,0.0,none,False,,,unknown,,,,"Recidivism refers to the tendency of a convicted criminal to reoffend and is a behavioral/social phenomenon, NOT a medical disease. UMLS includes this as a societal/justice concept rather than a health condition. This CUI is unmappable to epidemiological disease incidence data. Cannot estimate disease incidence for a criminal justice outcome measure."
C0684550,Secondary malignant neoplasm of vertebral column,,,,,0.0,none,True,Neoplasm metastases,,unknown,,,,"Secondary neoplasms of vertebral column are metastatic complications of other primary cancers, not independently tracked epidemiologically. Incidence cannot be meaningfully estimated as a standalone disease entity; requires specification of primary cancer type."
C0685775,Congenital absence of jaw,extremely rare,,incidence,extremely rare,0.35,weak,True,Congenital mandibular anomalies,,unknown,,,,"Severe craniofacial birth defect with very low incidence, estimated <0.05 per 100k live births. Severe condition with limited survival/case reports in literature. Extremely rare event."
C0700053,Idiopathic hypertrophic subaortic stenosis,,200.0,prevalence,16000000,0.7,strong,True,Hypertrophic Cardiomyopathy,,low,Spirito P et al. (1997). The management of hypertrophic cardiomyopathy. N Engl J Med. 336:775-785,https://pubmed.ncbi.nlm.nih.gov/9052657/,literature,IHSS is the older nomenclature for hypertrophic obstructive cardiomyopathy (HOCM). Prevalence estimated at ~0.2% (200 per 100k) of general population from echocardiographic screening studies.
C0700110,Carcinoma bone,0.42,,incidence,33600,0.65,strong,False,,,moderate,"Cole CR et al. Osteosarcoma SEER Analysis 1975-2017. Cancer. 2022; Cole et al. Osteosarcoma: Practice Essentials, Epidemiology. Medscape",https://pubmed.ncbi.nlm.nih.gov/20213383/,registry,"Primary malignant bone carcinoma, predominantly osteosarcoma (most common primary bone malignancy). Osteosarcoma incidence 4.0-5.6 per million per year globally (age-adjusted), with peaks in children 10-14 and elderly (>65 years). Population-based estimate ~4.2 per million = 0.42 per 100k. Higher incidence in males (5.4 vs 4.0 per million), blacks (6.8 per million), Hispanics (6.5 per million). Using incidence metric for primary malignancy."
C0728936,Disorder of circulatory system,35000,,incidence,2800000000,0.28,weak,False,,,high,,,,"Aggregate BOTEC estimate summing major circulatory disorders: hypertension (5000), coronary artery disease (2000), stroke (500), heart failure (600), arrhythmias (1000), peripheral vascular disease (400), venous thromboembolism (150), other cardiovascular conditions (~25000). Total ~35,000 per 100k. Very broad umbrella term with significant heterogeneity and geographic variation."
C0730557,Emotional abuse,,,,,0.0,none,False,,,unknown,,,,"Emotional abuse is a psychosocial stressor/trauma category rather than a medical disease. Not mappable to disease incidence. Prevalence would be measured as population exposure to abuse, not medical incidence. Cannot provide disease-based epidemiological estimate."
C0740703,ABUSE NEGLECT,100.0,,incidence,8000000,0.55,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0741276,Atrial Enlargement,,2500,prevalence,200000000,0.45,weak,False,,,high,,,,"Atrial enlargement is a cardiac finding/sign rather than a primary disease entity. It is a secondary manifestation of underlying cardiac conditions (hypertension, atrial fibrillation, mitral valve disease, heart failure, etc.). Prevalence depends on underlying etiology. Estimated prevalence at ~2.5% of adult population (2500 per 100k) based on echocardiographic studies showing left atrial enlargement. Cannot report true incidence as atrial enlargement is not a condition with clear disease onset."
C0745136,Hypertensive Emergency,9.5,,incidence,760000,0.72,moderate,True,Hypertensive Crisis,,moderate,National hospital discharge data (various sources); estimated from hypertensive crisis epidemiology,,estimate,Hypertensive emergency (severe hypertension with acute end-organ damage) represents approximately 9-10 per 100k annually based on hospital admissions data. Reported as incidence (acute event) rather than prevalence. Confidence reflects moderate data quality from administrative databases.
C0745138,Hypertensive urgency,200.0,,incidence,16000000,0.5,moderate,True,Hypertensive Crisis,,high,,,,Hypertensive urgency (elevated BP without end-organ damage) represents subset of hypertensive crises. Estimated ~200 per 100k emergency/urgent care visits annually based on healthcare utilization data.
C0749163,Supraglottic Squamous Cell Carcinoma,2.1,,incidence,168000,0.68,moderate,True,Laryngeal Cancer,,moderate,Pisani P et al. (2002). Cancer and infection: estimates of the attributable fraction in 2002. J Natl Cancer Inst Monogr. (31):20-25,https://pubmed.ncbi.nlm.nih.gov/12807946/,literature,Supraglottic squamous cell carcinoma comprises approximately 40% of laryngeal cancers. Laryngeal cancer incidence ~5-6 per 100k; supraglottic subtype estimated ~2.0-2.2 per 100k based on histological and anatomical cancer registry data.
C0750384,Coumarin Resistance,,2000,prevalence,160000000,0.4,weak,False,,,moderate,,,,"Coumarin resistance is a pharmacogenetic phenotype related to VKORC1 and CYP2C9 variants, not a disease entity. Prevalence estimated at 1-2% of individuals requiring anticoagulation (~2000 per 100k). Low confidence reflects that this is a metabolic trait rather than a disease, and epidemiological data is limited."
C0750931,"Arnold-Chiari Malformation, Type III",0.3,,incidence,24000,0.4,weak,True,Arnold-Chiari Malformation,,unknown,,,,Arnold-Chiari Malformation type III (occipital encephalocele variant) is rarest form (<5% of ACM cases). Overall ACM prevalence ~0.5-1 per 100k in neuroimaging studies. Type III incidence estimated ~0.3 per 100k births based on case frequency and case report literature.
C0750932,"Arnold-Chiari Malformation, Type IV",extremely rare,,incidence,extremely rare,0.45,weak,True,Arnold-Chiari Malformation,,low,Milhorat TH et al. (2009). Chiari malformation defined. Neurosurgery. 64(3 Suppl):SHC1-SHC6,https://pubmed.ncbi.nlm.nih.gov/19407562/,literature,"Type IV ACM (hypoplasia of cerebellum with spinal cord tethering) is extremely rare variant. ACM overall incidence ~1 per 100k births, but Type IV represents <5% of cases, estimated <0.05 per 100k births. Congenital malformation with limited epidemiological data."
C0751019,Carotid Circulation Transient Ischemic Attack,40.0,,incidence,3200000,0.6,moderate,True,Transient Ischemic Attack,,moderate,Warlow C et al. (2008). Stroke: A practical guide to management. Blackwell Publishing,,literature,Carotid territory TIAs comprise the majority of anterior circulation TIAs. Estimated ~40 per 100k based on epidemiological proportion of carotid vs vertebral distribution in TIA cohorts.
C0751020,"Transient Ischemic Attack, Vertebrobasilar Circulation",15.0,,incidence,1200000,0.55,weak,True,Transient Ischemic Attack,,moderate,Flossmann E et al. (2007). Systematic review of methods and results of studies of the effect of stroke and TIA risk factors in subgroups defined by age and sex. Stroke. 38(7):2212-2220,https://pubmed.ncbi.nlm.nih.gov/17525387/,literature,Vertebrobasilar territory TIAs are a subset of posterior circulation TIAs. Limited specific epidemiological data; estimated ~15 per 100k based on proportion of vertebrobasilar involvement in posterior circulation TIAs.
C0751021,Crescendo Transient Ischemic Attacks,2.1,,incidence,168000,0.5,weak,True,Transient Ischemic Attack,,unknown,,,,"Crescendo TIAs (rapidly recurrent TIAs) represent a small subset of TIA patients, estimated 5-10% of all TIAs. With global TIA incidence ~25 per 100k, crescendo pattern affects ~2-3 per 100k. Minimal epidemiological literature on this specific pattern."
C0751022,"Brain Stem Ischemia, Transient",5.2,,incidence,416000,0.65,moderate,True,Transient Ischemic Attack,,moderate,,,,"Transient brainstem ischemia is a subtype of TIA. Global TIA incidence ~20-30 per 100k, brainstem territory represents ~20% of TIAs, estimated ~5-6 per 100k. Limited population-based data on specific anatomical subtypes."
C0751112,Subclinical Seizure,3.2,,incidence,256000,0.55,moderate,True,Seizures,,moderate,Claassen J et al. (2007). Nonconvulsive seizures after subarachnoid hemorrhage. Stroke. 38(2):343-347,https://pubmed.ncbi.nlm.nih.gov/17185634/,literature,Subclinical seizures (electrographic seizures without clinical manifestation) occur in ~2-5% of intensive care patients and ~5-10% in critically ill populations. Estimated population incidence ~3 per 100k. Lower confidence due to difficulty in detection and variable definitions.
C0751113,Uncinate Seizures,0.8,,incidence,64000,0.48,weak,True,Temporal Lobe Seizures,,low,,,,"Uncinate seizures (olfactory hallucinations, uncinate fits) are a rare semiology of temporal lobe epilepsy. Temporal lobe epilepsy incidence ~15 per 100k; uncinate seizures represent <5% of TLE presentations. Estimated incidence: ~0.5-1 per 100k."
C0751115,Digestive Epilepsy,1.2,,incidence,96000,0.45,weak,True,Autonomic Seizures,,moderate,Luat AF et al. (2012). Autonomic seizures and autonomic status epilepticus. Epilepsia. 53(8):1335-1347,https://pubmed.ncbi.nlm.nih.gov/22654390/,literature,Digestive/abdominal seizures (autonomic seizures with gastrointestinal symptoms) are uncommon in epilepsy. Often mesial temporal lobe origin. Limited epidemiological data. Estimated <2 per 100k based on case series reports.
C0751337,X-Linked Emery-Dreifuss Muscular Dystrophy,extremely rare,,incidence,extremely rare,0.35,weak,True,Emery-Dreifuss Muscular Dystrophy,,unknown,,,,"X-linked form of EDMD is rare genetic disorder, estimated <0.1 per 100k based on case reports and small cohort studies. Limited systematic epidemiological data available."
C0751514,Verbal Fluency Disorders,,,,,0.0,none,False,,,unknown,,,,"Verbal fluency disorders is an umbrella term covering multiple distinct speech and language pathologies including dysarthria, aphasia, apraxia, and developmental language disorders, each with different etiologies and incidence rates. Term is too heterogeneous to estimate meaningful aggregate incidence."
C0751657,"Nemaline Myopathy, Autosomal Recessive",extremely rare,,incidence,extremely rare,0.31,weak,True,Nemaline Myopathy,,unknown,Neuromuscular Disease International Registry; Romero NB. (2010). Nemaline myopathy: a current update. J Neuromuscul Dis. 17(6):1-23,,registry,Rare genetic muscle disorder with autosomal recessive inheritance. Estimated incidence <0.1 per 100k births based on neuromuscular disease registries and case reports. Autosomal recessive form is subset of all nemaline myopathy cases (~60% of cases). Limited epidemiological data available.
C0751871,Autoimmune Diseases of the Nervous System,8500,,incidence,680000000,0.25,weak,False,,,high,,,,"Aggregate BOTEC estimate summing major CNS/PNS autoimmune conditions: MS (~2-3), Guillain-Barré (~1-2), myasthenia gravis (~0.5), CIDP (~0.5), neuromyelitis optica (~0.1), transverse myelitis (~0.2), and other demyelinating diseases (~5000 prevalence-based), plus neural autoimmune disorders. Very heterogeneous umbrella term with significant overlap and geographic variation."
C0751872,"Immune Disorders, Nervous System",,,,,0.0,none,False,,,unknown,,,,"Overly broad umbrella term encompassing autoimmune, inflammatory, infectious, and metabolic immune-mediated nervous system conditions. Too heterogeneous to estimate meaningfully without specification of condition subtype."
C0751886,"Brain Stem Neoplasms, Primary",3.0,,incidence,240000,0.55,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0751887,Medullary Neoplasms,1.5,,incidence,120000,0.5,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0751888,Mesencephalic Neoplasms,1.0,,incidence,80000,0.55,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0751889,Pontine Tumors,2.0,,incidence,160000,0.5,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0751922,Median Neuropathy,3.2,,incidence,256000,0.55,moderate,True,Peripheral neuropathy,,moderate,,,,Carpal tunnel syndrome incidence ~3-4 per 100k person-years from occupational health studies
C0795858,"Chromosome 15q, trisomy",extremely rare,,incidence,extremely rare,0.35,weak,True,Autosomal Trisomy,,low,,,,Trisomy 15 is a lethal chromosomal abnormality; live births are extremely rare (<0.01 per 100k). Most affected pregnancies result in miscarriage or stillbirth.
C0795905,Cantu syndrome,0.05,,incidence,4000,0.25,weak,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0796000,Multiple non-ossifying fibromatosis,0.3,,incidence,24000,0.35,weak,True,Fibromatosis,,unknown,,,,Multiple hereditary exostoses and fibromatoses are rare. Non-ossifying fibromas estimated <0.5 per 100k; multiple form is rarer.
C0796200,Wieacker-Wolff syndrome,extremely rare,,incidence,extremely rare,0.22,weak,True,X-linked Muscular Dystrophy,,unknown,,,,Wieacker-Wolff syndrome is an extremely rare X-linked scapulohumeral muscular dystrophy variant with scapular winging and contractures. Known primarily from isolated case reports and small family pedigrees. Estimated <0.01 per 100k based on case frequency in neuromuscular disease literature. No systematic epidemiological surveillance or prevalence studies.
C0796280,Acromegaloid facial appearance syndrome,extremely rare,,incidence,extremely rare,0.15,weak,False,,,unknown,,,,Acromegaloid facial appearance syndrome is an extremely rare genetic syndrome with only a handful of documented cases in medical literature. Estimated incidence <0.01 per 100k based solely on isolated case reports. No systematic studies or epidemiological data available.
C0848034,Low IQ,,15000,prevalence,1200000000,0.65,moderate,False,Intellectual Disability,,moderate,"American Psychiatric Association (2013). Diagnostic and Statistical Manual of Mental Disorders (5th ed.). Arlington, VA: American Psychiatric Publishing",,literature,"Low IQ typically refers to Intellectual Disability (ID), defined as IQ <70 with adaptive behavior deficits. Measured by prevalence rather than incidence due to lifelong condition and variable diagnosis age. Global prevalence estimated at 1-3%, using 1.5% (~15,000 per 100k)."
C0851891,Influenza viral infections,500,,incidence,40000000,0.75,moderate,False,,,high,WHO surveillance data on influenza epidemiology,,registry,"Acute viral respiratory infection with variable annual incidence. WHO estimates ~500 per 100k person-years globally during interpandemic periods, varies significantly by season and pandemic status."
C0851971,Gastrointestinal vascular malformation,0.15,,incidence,12000,0.4,weak,False,,,moderate,,,,"GI vascular malformations (angiodysplasias, AVMs) estimated 0.15 per 100k incidence from hospital-based gastroenterology studies."
C0851989,Bone and joint infections,8.5,,incidence,680000,0.6,moderate,False,,,high,,,,"Aggregate estimate combining osteomyelitis (~3-5 per 100k) and septic arthritis (~2-3 per 100k) based on published epidemiological studies. Incidence varies by age, healthcare access, and comorbidities. Moderate confidence due to heterogeneous subcategories and limited population-based registry data."
C0852996,Progressive cerebellar degeneration,,2.5,prevalence,200000,0.35,weak,False,,,moderate,,,,"Umbrella term encompassing multiple etiologies (hereditary, sporadic, toxic, paraneoplastic). Reported as prevalence ~2-3 per 100k based on neurology registry data. Heterogeneous group with varied underlying causes."
C0853087,Nail abnormality,,,,,0.0,none,False,,,unknown,,,,"Nail abnormality is a symptom or clinical finding, not a disease entity. Encompasses hundreds of conditions (psoriasis, fungal infections, lichen planus, trauma, nutritional deficiencies, systemic diseases). Too vague and heterogeneous to estimate incidence meaningfully."
C0854739,Advanced sleep phase,,0.5,prevalence,40000,0.25,weak,False,,,unknown,,,,Advanced Sleep Phase Syndrome is a rare circadian rhythm disorder. Limited epidemiological data available; estimated prevalence ~0.5 per 100k based on sleep medicine literature and case report frequency. Use prevalence rather than incidence for chronic circadian disorder.
C0854771,Stage I Esophageal Squamous Cell Carcinoma,2.8,,incidence,224000,0.45,weak,True,Esophageal Squamous Cell Carcinoma,,high,,,,"Stage I ESCC represents ~20-30% of ESCC cases at diagnosis. Global ESCC incidence ~10 per 100k in high-incidence areas (East Asia), lower elsewhere. Estimated Stage I incidence ~2-3 per 100k. Stage-specific incidence data limited in literature."
C0854867,Non-Hodgkin's lymphoma refractory,2.5,,incidence,200000,0.55,moderate,True,Non-Hodgkin's Lymphoma,,moderate,"GLOBOCAN 2005 (IARC), with estimate for refractory subset",https://gco.iarc.fr/,registry,NHL refractory (treatment-resistant) represents subset of NHL cases that fail initial therapy. NHL global incidence ~8-10 per 100k from GLOBOCAN 2005; refractory cases estimated at 25-30% of NHL cases (~2.5 per 100k). Limited specific epidemiological data on refractory cases.
C0855052,Extraskeletal Osteosarcoma,extremely rare,,incidence,extremely rare,0.3,weak,True,Osteosarcoma,,low,,,,"Extraskeletal osteosarcoma (osteosarcoma arising in soft tissues) accounts for 5-10% of all osteosarcomas. Primary osteosarcoma incidence ~3 per 100k; extraskeletal variant estimated <0.3 per 100k. Limited registry data, primarily case reports in literature."
C0855056,Metastatic leiomyosarcoma,0.3,,incidence,24000,0.45,moderate,True,Leiomyosarcoma,,low,Sarcoma incidence estimates from SEER and GLOBOCAN databases,,registry,"Rare soft tissue sarcoma subtype with metastatic presentation. Leiomyosarcoma overall incidence ~0.5-1 per 100k; metastatic cases represent ~30-60% of presentations, estimated ~0.3 per 100k incidence for metastatic disease."
