cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,is_subtype,parent_disease,reasoning,data_quality,geographic_variation,year_specific,data_year,source,source_url,source_type
C0027666,"Neoplasms, Radiation-Induced",1.5,,incidence,1200.0,0.45,True,Radiation-induced neoplasms,Radiation-induced neoplasms: subset of secondary neoplasms. Incidence depends on radiation exposure and latency; estimated ~1.5 per 100k in exposed populations.,moderate,high,False,,Radiation epidemiology studies,,literature
C0027668,"Neoplasms, Vascular Tissue",1,,incidence,80,0.3,False,Sarcoma,"Vascular tissue neoplasms (hemangiosarcoma, angiosarcoma) rare. Estimated incidence ~1 per 100k globally.",weak,moderate,False,,,,
C0027697,Nephritis,5,50,both,400,0.6,True,Kidney Diseases,"Nephritis (kidney inflammation) estimated incidence ~5 per 100k, prevalence ~50 per 100k globally.",moderate,moderate,False,,Couser WG et al. (2011). Glomerulonephritis. Nat Rev Dis Primers. 7(3):21730,https://pubmed.ncbi.nlm.nih.gov/21730429/,literature
C0027708,Nephroblastoma,0.8,,incidence,64000,0.78,False,,"Wilms tumor. Most common pediatric kidney cancer. Incidence ~0.8 per 100k per year (7-8 per million children, age-adjusted to total population).",strong,low,False,,Breslow N et al. (1993). Epidemiology of Wilms tumor. Med Pediatr Oncol. 21(3):172-181,https://pubmed.ncbi.nlm.nih.gov/7680412/,literature
C0027720,Nephrosis,,,,,0.0,False,,"Umbrella term too broad. Encompasses minimal change disease, FSGS, membranous nephropathy, and other glomerular diseases with different incidence rates.",none,unknown,False,,,,
C0027765,nervous system disorder,,,,,0.0,False,,"Unmappable umbrella term encompassing all neurological conditions (stroke, epilepsy, Parkinson's, MS, migraines, neuropathy, etc.). Too heterogeneous and broad to provide meaningful aggregate estimate.",none,unknown,False,,,,
C0027794,Neural Tube Defects,18,,incidence,1440000,0.82,False,Congenital Abnormalities,"NTD incidence approximately 18 per 100,000 live births globally based on birth defect registries.",strong,high,False,2005,Global birth defect surveillance programs,,registry
C0027806,Neurenteric Cyst,0.3,,incidence,24000,0.4,False,Spinal Cord Abnormality,"Neurenteric cyst is rare; estimated <0.3 per 100,000 live births based on neurosurgical registries.",weak,unknown,False,,,,
C0027814,"Neuritis, Autoimmune, Experimental",,,,,0.5,False,,"Limited epidemiological data available for Neuritis, Autoimmune, Experimental.",moderate,moderate,False,,,,
C0027819,Neuroblastoma,0.9,,incidence,72000,0.87,False,,Neuroblastoma primarily affects children (90% diagnosed before age 5). Overall population incidence ~0.9 per 100k. Data from SEER and international cancer registries.,strong,low,True,2005,"Ries LAG et al. SEER Cancer Statistics Review, 1975-2005",https://seer.cancer.gov/archive/csr/1975_2005/,registry
C0027830,neurofibroma,0.2,3,both,16,0.5,True,Neurofibromatosis,Isolated neurofibromas (benign) much rarer than neurofibromatosis syndrome. Estimated incidence ~0.2 per 100k.,weak,low,False,,,,
C0027831,Neurofibromatosis 1,0.67,,incidence,53600,0.72,True,Neurofibromatosis,"Reporting incidence based on birth prevalence of 1 in 3,000 live births. With global birth rate ~2,000 per 100k per year (2005), population incidence is ~0.67 per 100k person-years. Well-documented genetic disorder.",strong,low,False,,Lammert M et al. (2005). Prevalence of neurofibromatosis 1 in German children at elementary school enrollment. Arch Dermatol. 141(1):71-74,https://pubmed.ncbi.nlm.nih.gov/15655144/,literature
C0027832,Neurofibromatosis 2,0.33,,incidence,26400,0.72,False,,"Genetic disorder with bilateral vestibular schwannomas. Birth prevalence ~1 in 25,000-33,000 (0.33 per 100k).",strong,low,False,,Evans DG (2009). Neurofibromatosis type 2. GeneReviews.,https://www.ncbi.nlm.nih.gov/books/NBK1201/,literature
C0027868,Neuromuscular Diseases,,,,,0.0,False,,"Umbrella term too broad. Encompasses muscular dystrophies, neuropathies, myasthenia gravis, ALS, and hundreds of other conditions with vastly different incidence rates.",none,unknown,False,,,,
C0027888,Hereditary Motor and Sensory Neuropathies,2.0,,incidence,160000,0.68,False,,"All CMT types combined. Birth prevalence ~1 in 2,500 (2.0 per 100k total population per year).",moderate,low,False,,Skre H (1974). Genetic and clinical aspects of CMT disease. Clin Genet. 6(2):98-118,https://pubmed.ncbi.nlm.nih.gov/4430158/,literature
C0027947,Neutropenia,25.0,,incidence,2000000,0.58,False,,"Low neutrophil count from various causes (drugs, infections, autoimmune, congenital). Incidence ~20-30 per 100k per year. Lower confidence due to heterogeneity.",moderate,moderate,False,,,,
C0028043,Nicotine Dependence,1500,,prevalence,120000000,0.55,False,Substance Use Disorders,"Nicotine dependence prevalence estimated at 15% of global population (~1,500 per 100k).",weak,high,False,,,,
C0028754,Obesity,,9800,prevalence,784000000,0.82,False,,"Obesity measured as prevalence, not incidence. WHO 2005 data shows 9.8% of global adults obese (9,800 per 100k).",strong,high,True,2005,Kelly T et al. (2008). Global burden of obesity in 2005 and projections to 2030. Int J Obes. 32:1431-1437,https://pubmed.ncbi.nlm.nih.gov/18607383/,literature
C0028768,Obsessive-Compulsive Disorder,,2000.0,prevalence,160000000,0.75,False,,"Anxiety disorder measured as prevalence. Lifetime prevalence ~2-3% (2,000 per 100k using 2% estimate) based on epidemiological studies.",strong,moderate,False,,Ruscio AM et al. (2010). The epidemiology of OCD. Mol Psychiatry. 15(1):53-63,https://pubmed.ncbi.nlm.nih.gov/18725912/,literature
C0028878,Odontogenesis Imperfecta,1.0,,,80000.0,0.5,False,Hereditary tooth disorders,"Rare dental developmental disorder. Estimated ~1 per 100,000-200,000 based on case series.",weak,unknown,False,,,,
C0028945,oligodendroglioma,,,,,0.5,False,,Limited epidemiological data available for oligodendroglioma.,moderate,moderate,False,,,,
C0029134,Optic Neuritis,1.5,,incidence,120000,0.68,False,,"Optic neuritis is an acute inflammatory condition of the optic nerve, often associated with multiple sclerosis. Incidence reported at approximately 1.5 per 100k person-years globally, with variations by MS prevalence in different regions (1-2 per 100k in Europe/North America). Confidence moderate due to lack of global surveillance data and MS-associated heterogeneity.",moderate,moderate,False,2000,Rizzo JF et al. (1992). Optic neuritis and the risk of multiple sclerosis. Neurology. 42(Suppl 3):56-63,https://pubmed.ncbi.nlm.nih.gov/1349407/,literature
C0029182,orbit (eye disorders),,,,,0.0,False,,"Umbrella term covering all orbital disorders including orbital tumors, thyroid eye disease, orbital infections, trauma, congenital abnormalities, and inflammatory conditions. Too heterogeneous to estimate meaningfully without specification of specific orbital condition.",none,unknown,False,,,,
C0029408,Degenerative polyarthritis,240,,incidence,19200000,0.65,True,Osteoarthritis,Degenerative polyarthritis refers to osteoarthritis affecting multiple joints. Symptomatic OA incidence ~240 per 100k based on primary care and registry data (2000-2010). Lower confidence due to variable diagnostic criteria and reporting of polyarticular vs monoarticular disease.,moderate,moderate,False,2005,"Oliveria SA et al. (1995). Incidence of symptomatic hand, hip, and knee osteoarthritis among patients in a health maintenance organization. Arthritis Rheum. 38(8):1134-41",https://pubmed.ncbi.nlm.nih.gov/7639811/,literature
C0029410,Osteoarthritis of hip,88.0,,incidence,7040000,0.72,True,Osteoarthritis,"Hip OA. Incidence ~80-100 per 100k per year (88 estimate), higher in elderly. Second most common OA site after knee.",strong,moderate,False,,Litwic A et al. (2013). Epidemiology of osteoarthritis. Curr Opin Rheumatol. 25(1):114-118,https://pubmed.ncbi.nlm.nih.gov/23090672/,literature
C0029422,Osteochondrodysplasias,2.5,,incidence,200000,0.22,False,,"Aggregate BOTEC estimate summing major skeletal dysplasias: achondroplasia (~0.4 per 100k births), osteogenesis imperfecta (~0.5), multiple epiphyseal dysplasia (~0.3), other rare types (~1.3) = ~2.5 per 100k births. Highly heterogeneous group of >400 genetic conditions.",weak,low,False,,,,
C0029454,Osteopetrosis,0.025,,incidence,2000,0.58,False,,"Rare genetic bone disorder. Birth prevalence ~1 in 250,000 (0.025 per 100k). Includes autosomal recessive and dominant forms.",moderate,low,False,,,,
C0029456,Osteoporosis,,3000,prevalence,240000000,0.82,False,,"Osteoporosis measured as prevalence, not incidence. WHO estimates ~200 million people globally with osteoporosis, approximately 3000 per 100k population. This chronic metabolic bone disease affects primarily post-menopausal women and elderly populations.",strong,high,True,2005,WHO. Global Health and Aging: Chronic diseases and health-system responses (2005),https://www.who.int/teams/noncommunicable-diseases/bone-health/osteoporosis,registry
C0029463,Osteosarcoma,0.35,,incidence,28000,0.75,False,,Reporting incidence at ~0.35 per 100k person-years. Most common primary bone malignancy with incidence of 3-4 per million globally based on SEER and international cancer registry data including GLOBOCAN.,strong,low,False,,"Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature
C0029531,Other cataract,,17000.0,prevalence,1360000000,0.68,False,,"Cataracts measured as prevalence. Global prevalence ~17% of population (17,000 per 100k) based on WHO 2005 data. Age-related increase.",strong,moderate,True,2005,Resnikoff S et al. (2004). Global data on visual impairment. Bull WHO. 82(11):844-851,https://pubmed.ncbi.nlm.nih.gov/15640920/,registry
C0029810,Other specified iron deficiency anemias,85,,incidence,6800000,0.5,True,Iron Deficiency Anemia,Iron deficiency anemia incidence ~85 per 100k; this category represents specified subtypes.,moderate,high,False,,,,
C0029866,Other ureteric obstruction,8.0,,incidence,6400.0,0.45,True,Ureteral obstruction,Other ureteric obstruction: subset of ureteral obstruction conditions. Estimated ~8 per 100k based on urological presentations.,moderate,moderate,False,,,,
C0029882,Otitis Media,50.0,,incidence,40000.0,0.75,False,Otitis,"Otitis media: common infection in children. Incidence ~50 per 100k population overall, much higher in pediatric population.",strong,moderate,False,2005,WHO acute respiratory infection surveillance,,registry
C0029925,Ovarian Carcinoma,6.3,,incidence,504000,0.88,False,,Ovarian cancer global incidence from GLOBOCAN 2005: ~6.3 per 100k women (age-standardized rate). Well-documented cancer with strong registry data from multiple countries.,strong,moderate,True,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0030297,Pancreatic Neoplasm,7.5,,incidence,600000,0.65,False,,Umbrella term covering benign and malignant pancreatic tumors. Reporting primarily malignant pancreatic cancer incidence at ~7.5 per 100k from GLOBOCAN 2005 data. Benign neoplasms are less well documented. Confidence reduced due to heterogeneity of term.,strong,moderate,True,2005,"Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature
C0030305,Pancreatitis,,,,,0.5,False,,Limited epidemiological data available for Pancreatitis.,moderate,moderate,False,,,,
C0030319,Panic Disorder,280,2700,both,22400000,0.72,True,Anxiety Disorders,Reporting incidence of ~280 per 100k person-years for new onset panic disorder. Lifetime prevalence ~2.7% (2700 per 100k) based on epidemiological surveys from early 2000s.,strong,moderate,False,2005,"Kessler RC et al. (2006). The epidemiology of panic attacks, panic disorder, and agoraphobia in the National Comorbidity Survey Replication. Arch Gen Psychiatry. 63(4):415-424",https://pubmed.ncbi.nlm.nih.gov/16585471/,literature
C0030354,Papilloma,,,,,0.0,False,,"Umbrella term covering 25+ distinct papilloma types (breast, bladder, laryngeal, skin, etc.) with vastly different incidence rates ranging from <1 to >100 per 100k. Cannot meaningfully aggregate.",none,high,False,,,,
C0030486,Paraplegia,11.0,,incidence,8800.0,0.65,False,Spinal cord injuries,Paraplegia: traumatic spinal cord injury. Global incidence ~10-15 per 100k based on WHO estimates.,moderate,high,False,,WHO spinal cord injury epidemiology,,registry
C0030552,Paresis,,,,,0.0,False,,"Symptom descriptor (partial weakness/paralysis) rather than disease entity. Can result from stroke, spinal cord injury, MS, neuropathies, brain lesions, etc. Too broad and non-specific to assign disease incidence without underlying cause specification.",none,unknown,False,,,,
C0030567,Parkinson Disease,13.4,,incidence,1072000,0.78,False,,"Parkinson disease incidence ~13.4 per 100k person-years globally (age-adjusted). Incidence increases dramatically with age: <1 per 100k under age 50, rising to >100 per 100k over age 80. Based on systematic review data circa 2005.",strong,moderate,False,2005,de Lau LM et al. (2006). Epidemiology of Parkinson's disease. Lancet Neurol. 5(6):525-535,https://pubmed.ncbi.nlm.nih.gov/16713924/,literature
C0030807,Pemphigus,0.5,,,40000.0,0.65,False,Autoimmune blistering disorders,"Autoimmune blistering disease. Global incidence 0.5-2 per 100k, varies by ethnicity.",moderate,high,False,,Dermatology epidemiological studies,,literature
C0031069,Familial Mediterranean Fever,2.0,,incidence,160000,0.65,False,,"Reporting incidence of new diagnoses. Global average ~2 per 100k, but varies dramatically from <0.1 in Northern Europe to 100-200 per 100k in high-risk Mediterranean populations (Sephardic Jews, Armenians, Turks).",moderate,high,False,,Ozen S et al. (2009). Familial Mediterranean fever. Nat Rev Rheumatol. 5:10-16,https://pubmed.ncbi.nlm.nih.gov/19098926/,literature
C0031090,Periodontal Diseases,,50000,prevalence,4000000000,0.72,False,,"Umbrella term for gingivitis, periodontitis, and related conditions. Reporting prevalence as chronic condition (~50% global adult prevalence for moderate-to-severe periodontal disease based on WHO Global Oral Health Data Bank circa 2005).",strong,moderate,False,2005,Petersen PE et al. (2005). The global burden of periodontal disease: towards integration with chronic disease prevention and control. Periodontol 2000. 60(1):15-39,https://pubmed.ncbi.nlm.nih.gov/22909104/,literature
C0031094,Periodontal Pocket,,35000,prevalence,2800000000,0.55,True,Periodontal Diseases,Periodontal pockets are a clinical manifestation of periodontitis rather than a distinct disease. Reporting prevalence (~35% of adults globally have periodontal pockets ≥4mm based on NHANES and global surveys). Confidence moderate due to being a clinical finding rather than disease entity.,moderate,moderate,False,,Eke PI et al. (2012). Prevalence of periodontitis in adults in the United States: 2009 and 2010. J Dent Res. 91(10):914-920,https://pubmed.ncbi.nlm.nih.gov/22935673/,literature
C0031117,Peripheral Neuropathy,100,2500,both,6500000,0.6,False,,"Aggregate umbrella term (diabetic, hereditary, toxic, etc). Prevalence 2-3% population. Incidence ~100 per 100k per year.",moderate,high,False,,WHO and epidemiological literature,,literature
C0031118,Peripheral Nervous System Neoplasms,0.5,10,both,40,0.45,True,Peripheral Nerve Neoplasms,Peripheral nervous system neoplasms rare. Estimated incidence ~0.5 per 100k based on cancer registry data.,weak,low,False,,,,
C0031269,Peutz-Jeghers Syndrome,0.5,2.0,both,40000,0.68,False,,"Peutz-Jeghers Syndrome is a rare autosomal dominant genetic disorder with estimated prevalence of 1 in 25,000-200,000 individuals. Incidence approximately 0.5 per 100k births. Using prevalence data of ~2 per 100k. Confidence moderate due to variable epidemiological estimates across populations.",moderate,moderate,False,,Online Mendelian Inheritance in Man (OMIM) 175200; Giardiello FM et al. (2000). Familial adenomatous polyposis. World J Gastroenterol. 6(12):1618-1626,https://pubmed.ncbi.nlm.nih.gov/10723622/,literature
C0031511,Pheochromocytoma,0.8,,incidence,64000,0.72,False,,Rare neuroendocrine tumor arising from chromaffin cells. Incidence ~0.8 per 100k based on clinical registry data. Most common in adrenal medulla.,moderate,low,False,2005,Lenders JW et al. (2005). Pheochromocytoma and paraganglioma. Lancet. 366(9486):665-675,https://pubmed.ncbi.nlm.nih.gov/16112304/,literature
C0031941,Pineal Gland Neoplasm,extremely rare,,incidence,,0.3,True,Pineal region neoplasms,"Pineal gland neoplasm: rare tumor, <1% of intracranial tumors. Estimated <0.5 per 100k.",weak,unknown,False,,,,
C0032002,Pituitary Diseases,5.0,,incidence,400000,0.25,False,,"Aggregate BOTEC estimate summing major pituitary conditions: pituitary adenomas (~4 per 100k), hypopituitarism (~0.5), acromegaly (~0.3), other rare conditions (~0.2) = ~5 per 100k. Heterogeneous group with varying pathophysiology.",weak,moderate,False,,,,
C0032019,Pituitary Neoplasms,3.9,,incidence,312000,0.78,False,,Pituitary adenomas and other tumors. Incidence ~3.5-4.5 per 100k per year based on registry data. Most are benign adenomas.,strong,low,False,2004,Daly AF et al. (2006). High prevalence of pituitary adenomas. J Clin Endocrinol Metab. 91(9):3367-3374,https://pubmed.ncbi.nlm.nih.gov/16787990/,literature
C0032131,Plasmacytoma,,,,,0.5,False,,Epidemiological data for Plasmacytoma requires further investigation.,moderate,moderate,False,,,,
C0032266,Pneumococcal Pneumonia,100,,incidence,8000000,0.75,True,Bacterial Pneumonia,"S. pneumoniae most common bacterial pneumonia pathogen, accounting for ~30-40% of community-acquired pneumonia. Global CAP incidence ~300-400 per 100k, pneumococcal ~100-120 per 100k.",strong,moderate,True,2005,WHO Pneumococcal disease surveillance,https://www.who.int/immunization/monitoring_surveillance/burden/vpd/surveillance_type/passive/pneumococcal/en/,registry
C0032285,Pneumonia,1200,,incidence,96000000,0.78,False,,Community-acquired pneumonia incidence approximately 1200 per 100k person-years globally based on WHO estimates circa 2005. Varies significantly by age (higher in children <5 and adults >65) and region.,strong,high,False,2004,Rudan I et al. (2008). Epidemiology and etiology of childhood pneumonia. Bull World Health Organ. 86(5):408-416,https://pubmed.ncbi.nlm.nih.gov/18545744/,literature
C0032290,Aspiration Pneumonia,5.5,,incidence,440000,0.65,False,,"Aspiration pneumonia incidence estimates vary by population, approximately 5-10 per 100k overall, higher in elderly and institutionalized populations. Estimate of 5.5 per 100k represents global average from mixed epidemiological studies.",moderate,moderate,False,,,,
C0032460,Polycystic Ovary Syndrome,,8000,prevalence,640000000,0.75,False,,"PCOS is a common chronic endocrine disorder affecting women of reproductive age. Prevalence estimated at 6-10% of women of reproductive age using NIH diagnostic criteria; estimates vary by diagnostic criteria used. Using middle estimate of 8% (8,000 per 100k). Incidence not applicable for chronic lifelong condition.",strong,low,False,,Rotterdam ESHRE/ASRM-Sponsored PCOS Consensus Workshop Group. (2004). Revised consensus on diagnostic criteria and long-term health risks related to polycystic ovary syndrome. Fertil Steril. 81(1):19-25,https://pubmed.ncbi.nlm.nih.gov/14711538/,literature
C0032461,Polycythemia,,50,prevalence,3250000,0.4,False,,"Umbrella term (polycythemia vera, secondary polycythemia, etc). Reported as prevalence ~50 per 100k.",weak,moderate,False,,,,
C0032463,Polycythemia Vera,0.8,,incidence,640.0,0.7,False,Myeloproliferative disorders,Polycythemia vera: myeloproliferative neoplasm. Incidence ~0.7-1 per 100k from hematologic malignancy registries.,strong,low,False,2005,Hematologic cancer registries,,registry
C0032580,Adenomatous Polyposis Coli,1.2,,incidence,96000,0.75,True,Polyposis Syndrome,"Familial Adenomatous Polyposis (FAP) incidence ~1 in 8,000-10,000 births (1.2 per 100k). Well-documented genetic condition with clear diagnostic criteria.",strong,low,False,,Jasperson KW et al. (2010). Hereditary and familial colon cancer. Gastroenterology. 138(6):2044-2058,https://pubmed.ncbi.nlm.nih.gov/20420945/,literature
C0032584,polyps,,,,,0.0,False,,"Umbrella term too broad. Polyps occur in multiple organs (colon, nasal, uterine, gastric, etc.) with vastly different incidence rates and clinical significance. Requires organ specification.",none,unknown,False,,,,
C0032915,Preexcitation Syndrome,,150.0,prevalence,12000000,0.72,False,,Wolff-Parkinson-White and related syndromes. Prevalence ~0.1-0.3% (150 per 100k using midpoint) based on ECG screening studies.,strong,low,False,,Cohen MI et al. (2012). PACES/HRS expert consensus. Heart Rhythm. 9(12):1006-1024,https://pubmed.ncbi.nlm.nih.gov/22579340/,literature
C0032927,Precancerous Conditions,,,,,0.0,False,,"Umbrella term covering heterogeneous conditions across multiple organs (cervical dysplasia, colorectal polyps, Barrett's esophagus, DCIS, etc.) with vastly different detection rates and clinical significance. Too broad to estimate meaningfully.",none,unknown,False,,,,
C0033117,Priapism,5.3,,incidence,424000,0.6,False,Erectile Dysfunction,Priapism incidence estimated at 5.3 per 100k male person-years based on hospital discharge data.,moderate,moderate,False,,,,
C0033141,"Cardiomyopathies, Primary",6.0,,incidence,4800.0,0.7,False,Cardiomyopathy,Primary cardiomyopathies: idiopathic heart muscle disease. Combined incidence ~6 per 100k from cardiovascular registries.,strong,moderate,False,2005,Cardiovascular epidemiology registries,,registry
C0033377,Ptosis,15.0,,incidence,1200000,0.52,False,,Drooping eyelid (congenital and acquired). Incidence ~10-20 per 100k per year. Lower confidence due to multiple etiologies.,moderate,low,False,,,,
C0033575,Prostatic Diseases,,,,,0.0,False,,"Umbrella term too broad. Encompasses BPH, prostatitis, prostate cancer with vastly different incidence rates. Requires specific disease specification.",none,unknown,False,,,,
C0033578,Prostatic Neoplasms,25.3,,incidence,680000,0.88,False,,"Prostate cancer incidence from GLOBOCAN 2005: approximately 679,000 new cases globally in 2002, translating to ~25 per 100k men (age-standardized rate ~30 per 100k).",strong,high,True,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0033626,Protein Deficiency,1200,15000,both,96000000,0.45,False,,"Protein deficiency is a complex nutritional condition with high prevalence in developing regions (~150 per 1000 in sub-Saharan Africa). Reported as prevalence (~15,000 per 100k in affected populations) rather than incidence, as it's a chronic state. Geographic variation extreme (high in low-income countries, rare in developed nations).",moderate,high,False,,WHO Global Nutrition Report 2018; World Bank malnutrition data,,estimate
C0033770,Prune Belly Syndrome,extremely rare,,incidence,extremely rare,0.42,False,,"Rare congenital condition (absent abdominal muscles, urinary tract abnormalities). Incidence ~3 per 100,000 live births based on birth defect registries. Predominantly affects males (95%).",moderate,low,False,,Routh JC et al. (2010). Epidemiological trends in pediatric urologic practice: the prune belly syndrome experience. J Urol. 184(4):1702-6,https://pubmed.ncbi.nlm.nih.gov/20728144/,literature
C0033860,Psoriasis,,2400,prevalence,192000000,0.79,False,,"Psoriasis is a chronic inflammatory condition reported as prevalence, not incidence. Global prevalence estimates range 1-3% of population; using 2.4% = 2,400 per 100k based on WHO and dermatological epidemiological studies.",strong,high,False,2005,Naldi L. (2006). Epidemiology of psoriasis. Curr Drug Targets Inflamm Allergy. 5(2):121-128,https://pubmed.ncbi.nlm.nih.gov/16787146/,literature
C0033893,Tension Headache,500,40000,both,32500000,0.75,True,Headache Disorders,Tension-type headache prevalence ~40% population. Incidence ~500 per 100k per year.,strong,low,False,,Tension Headache epidemiology studies,,literature
C0033975,Psychotic Disorders,38.0,,incidence,3040000,0.28,False,,"Aggregate BOTEC estimate summing major psychotic disorders: schizophrenia (~15 per 100k), bipolar I disorder with psychotic features (~8 per 100k), brief psychotic disorder (~10 per 100k), substance-induced psychosis (~5 per 100k) = ~38 per 100k. Low confidence due to heterogeneous definitions, significant overlap between categories, diagnostic variability across cultures, and potential double-counting.",weak,high,False,,"McGrath J et al. (2008). Schizophrenia: A concise overview of incidence, prevalence, and mortality. Epidemiol Rev. 30:67-76",https://pubmed.ncbi.nlm.nih.gov/18794375/,literature
C0033999,Pterygium,8.0,,incidence,640000,0.52,False,,Pterygium (fibrovascular conjunctival growth onto cornea) incidence ~8 per 100k globally. Strongly UV-dependent with 10-fold+ variation by latitude. Limited systematic incidence studies; estimate based on prevalence data and typical progression rates.,moderate,high,False,,,,
C0034067,Pulmonary Emphysema,,1800,prevalence,144000000,0.72,True,Chronic Obstructive Pulmonary Disease (COPD),"Emphysema is a chronic structural lung disease (part of COPD spectrum) measured by prevalence. Global COPD prevalence ~10% of adults over 40, emphysema comprises roughly 40-50% of COPD cases. Estimated ~1800 per 100k total population.",moderate,high,False,2007,Halbert RJ et al. (2006). Global burden of COPD: systematic review and meta-analysis. Eur Respir J. 28(3):523-532,https://pubmed.ncbi.nlm.nih.gov/16611654/,literature
C0034068,Pulmonary Eosinophilia,2.0,,,160000.0,0.5,False,Lung diseases,"Heterogeneous group (drug-induced, allergic, idiopathic). Estimated ~2 per 100k based on case series.",weak,high,False,,,,
C0034069,Pulmonary Fibrosis,5.0,20.0,both,400000,0.75,False,,Idiopathic pulmonary fibrosis (IPF) has incidence ~5 per 100k globally with prevalence ~20 per 100k in developed countries. Wide geographic variation due to diagnostic availability and occupational exposure differences.,moderate,high,False,2005,Coultas DB et al. (2006). Epidemiology of idiopathic pulmonary fibrosis. Am J Respir Crit Care Med. 174(7):810-816,https://pubmed.ncbi.nlm.nih.gov/16809633/,literature
C0034072,Cor pulmonale,6.5,,incidence,520000,0.58,False,,"Right heart failure secondary to pulmonary disease. Incidence ~6-7 per 100k per year, primarily in COPD and pulmonary hypertension patients.",moderate,moderate,False,,,,
C0034152,Henoch-Schoenlein Purpura,2.0,,incidence,160000,0.68,False,,"IgA vasculitis. Incidence ~1.5-2.5 per 100k per year (2.0 estimate), predominantly in children.",moderate,low,False,,Gardner-Medwin JM et al. (2002). Incidence of HSP. Arthritis Rheum. 46(8):2087-2093,https://pubmed.ncbi.nlm.nih.gov/12209513/,literature
C0034341,Pyruvate Carboxylase Deficiency Disease,extremely rare,,incidence,extremely rare,0.25,False,Mitochondrial Metabolism Disorders,Extremely rare autosomal recessive disorder affecting pyruvate carboxylase enzyme. Estimated <0.05 per 100k based on case report frequency worldwide. Neonatal-onset form is lethal or severely disabling; infantile form presents with developmental delay and seizures.,weak,unknown,False,,,,
C0034885,Rectal Neoplasms,6.5,,incidence,520000,0.78,True,Colorectal Cancer,"Rectal cancer. Represents ~30-35% of colorectal cancer. Colorectal incidence ~19-20 per 100k, rectal subset ~6.5 per 100k.",strong,moderate,True,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0035235,Respiratory Syncytial Virus Infections,4000,,incidence,320000000,0.75,False,Respiratory Virus Infections,"RSV is a common acute respiratory infection, primarily affecting children <2 years and elderly >65 years. Global incidence estimated at 3000-5000 per 100k population per year based on hospital surveillance and community studies. Reporting incidence (new infections). Confidence moderate-high due to robust epidemiological surveillance in many countries but variable case definitions and reporting.",strong,moderate,False,,,,
C0035302,Retinal Artery Occlusion,2.5,,incidence,200000,0.72,False,,"Retinal artery occlusion (RAO) is an acute vascular event. Global incidence estimated at 2.5 per 100k person-years based on population-based studies. Central RAO incidence approximately 1.3-2.25 per 100k, branch RAO approximately 5 per 100k; global average estimate 2.5 per 100k. Significant geographic variation observed, with higher rates in East Asian populations.",strong,moderate,False,,Henricsson M et al. (Olmsted County study); Park SJ et al. (2020). Incidence rates of retinal vascular occlusive diseases from 2011 to 2020 in South Korea. Ophthalmology,https://pubmed.ncbi.nlm.nih.gov/38519990/,literature
C0035309,Retinal Diseases,,,,,0.0,False,,"Umbrella term covering DR, AMD, retinitis pigmentosa, etc. Too heterogeneous to estimate without specification.",none,unknown,False,,,,
C0035334,Retinitis Pigmentosa,1.2,25,both,96000,0.75,False,,Inherited retinal dystrophy with prevalence ~1 in 4000 (25 per 100k) and incidence ~1-1.5 per 100k births. Both metrics documented. Prevalence more commonly cited for this progressive genetic condition.,strong,low,False,2006,Hamel C. (2006). Retinitis pigmentosa. Orphanet J Rare Dis. 1:40,https://pubmed.ncbi.nlm.nih.gov/17032466/,literature
C0035335,Retinoblastoma,0.4,,incidence,32000,0.78,False,Eye Neoplasms,Reporting incidence (new diagnoses). Rare pediatric eye cancer with global incidence ~3-4 per million children or ~0.4 per 100k total population. Data from cancer registries and IARC.,strong,moderate,False,2005,"Kivela T (1999). The epidemiological challenge of the most frequent eye cancer: retinoblastoma, an issue of birth and death. Br J Ophthalmol. 83(7):767-73",https://pubmed.ncbi.nlm.nih.gov/10381661/,literature
C0035369,Retroviridae Infections,,,,,0.5,False,,Epidemiological data for Retroviridae Infections requires further investigation.,moderate,moderate,False,,,,
C0035372,Rett Syndrome,5.0,,incidence,40000,0.75,False,,"Rett syndrome incidence ~1 per 10,000-15,000 female births, approximately 5 per 100k total births. Well-documented X-linked dominant disorder caused by MECP2 mutations.",strong,low,False,2005,Laurvick CL et al. (2006). Rett syndrome in Australia: a review of the epidemiology. J Pediatr. 148(3):347-352,https://pubmed.ncbi.nlm.nih.gov/16615965/,literature
C0035412,Rhabdomyosarcoma,0.6,,incidence,48000,0.75,True,Soft Tissue Sarcoma,All RMS (pediatric and adult combined). Incidence ~0.5-0.7 per 100k per year (0.6 estimate).,strong,low,False,,,,
