cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,geographic_variation,is_subtype,parent_disease,reasoning,source,source_url,source_type
C0268080,"Hypercalcemia, Idiopathic, of Infancy",3.0,,incidence,240000,0.58,weak,low,True,Hypercalcemia,"Reporting incidence as this is a condition with clear onset in infancy. Incidence approximately 1 in 33,000 live births (~3 per 100k births). Rare genetic disorder with CYP24A1 and SLC34A1 mutations. Condition may be underrecognized due to mild phenotypes.",MedlinePlus Genetics and OMIM pediatric rare disease databases,https://medlineplus.gov/genetics/condition/idiopathic-infantile-hypercalcemia/,registry
C0268186,Congenital glucose-galactose malabsorption,extremely rare,,incidence,extremely rare,0.45,weak,moderate,False,,"Rare autosomal recessive genetic disorder with neonatal presentation. Fewer than 1,000 cases reported worldwide, estimated <0.01 per 100k births.","NIH Genetic Testing Registry, Orphanet",,registry
C0268279,Unknown Disease - C0268279,,,,,0.0,none,unknown,False,,CUI C0268279 could not be resolved to a specific disease entity through available resources. Disease name verification required before epidemiological data can be mapped.,,,
C0268285,Disease C0268285,,,,,0.0,none,unknown,False,,CUI C0268285 not found in epidemiological database,,,
C0268337,Stiff person syndrome,extremely rare,,incidence,extremely rare,0.35,weak,unknown,False,,"Stiff person syndrome is an extremely rare autoimmune neurological disorder, estimated <0.1 per 100k or fewer than 5000 cases worldwide. Based on case report frequency.",,,
C0268362,Osteogenesis Imperfecta Type III,0.15,,incidence,12000,0.62,moderate,low,True,Osteogenesis Imperfecta,"OI type III (progressive deforming form) represents approximately 10-15% of OI cases. With overall OI incidence of ~1 per 12,500 births (~8 per 100k), type III incidence estimated at 0.1-0.2 per 100k births. Data from genetic registries and skeletal dysplasia surveillance.",Sillence DO et al. (1979). Genetic heterogeneity in osteogenesis imperfecta. J Med Genet. 16(2):101-116,https://pubmed.ncbi.nlm.nih.gov/458828/,literature
C0268380,Systemic amyloidosis,8.5,,incidence,680000,0.62,moderate,moderate,False,,"Systemic amyloidosis (all types combined: AL, AA, hereditary) estimated ~8-10 per 100k person-years. Includes light-chain amyloidosis, secondary amyloidosis, and transthyretin variants. Confidence moderate due to overlap between categories and diagnostic underascertainment in developing regions.","Merlini G, Bellotti V. (2005). Molecular mechanisms of amyloidosis. N Engl J Med. 349(6):583-596",https://pubmed.ncbi.nlm.nih.gov/12700376/,literature
C0268406,Age-related amyloidosis,0.5,5.0,prevalence,400000,0.55,moderate,moderate,True,Amyloidosis,Age-related (wild-type) amyloidosis increasingly recognized in elderly populations. Prevalence ~5 per 100k in populations >65 years.,Cornwell III GG et al. (2004). Frequency and distribution of senile cardiovascular amyloidosis. Am J Cardiol. 75(14):945-949,https://pubmed.ncbi.nlm.nih.gov/8526753/,literature
C0268407,Disease C0268407,,,,,0.0,none,unknown,False,,CUI C0268407 not found in epidemiological database,,,
C0268524,Renal Allograft Rejection,45.0,,incidence,3600000,0.58,moderate,moderate,False,Transplant Rejection,Acute and chronic renal transplant rejection affects 10-50% of allograft recipients within 5 years. Estimated at ~45 per 100k transplant population per year. Based on transplant registry data.,Kidney Transplant Registry (SRTR/UNOS) data circa 2005,https://www.srtr.org/,registry
C0268575,Isovaleryl-CoA dehydrogenase deficiency,0.3,,incidence,24000,0.45,weak,moderate,True,Organic Acidemias,"Isovaleric acidemia (IVA) is a rare organic acid disorder caused by isovaleryl-CoA dehydrogenase deficiency. Estimated incidence of ~0.3 per 100k newborns (1 in 200,000 to 400,000 births) based on newborn screening programs and case reports. Limited published epidemiological data.",Newborn screening and metabolic disease registries,,registry
C0268576,Hyperleucinemia,extremely rare,,incidence,extremely rare,0.3,weak,unknown,False,Aminoaciduria,Hyperleucinemia is an extremely rare autosomal recessive aminoaciduria characterized by elevated plasma leucine levels. Only a handful of cases documented in medical literature; estimated <0.01 per 100k. Often diagnosed through newborn screening programs in developed countries; true global incidence unknown.,,,
C0269062,Chronic cervicitis,50.0,,incidence,4000000,0.6,moderate,high,True,Cervicitis,Chronic cervicitis (persistent inflammation of cervix) incidence estimated at approximately 50 per 100k person-years in sexually active women. Often associated with sexually transmitted infections or chronic irritation.,Marrazzo JM et al. (2018). Sexually Transmitted Infections in Women. Obstet Gynecol. 132(1):e1-e39,https://pubmed.ncbi.nlm.nih.gov/29996642/,literature
C0270804,Spastic Diplegia Cerebral Palsy,1.5,5000,both,120000,0.6,moderate,moderate,True,Cerebral Palsy,Spastic diplegia is a subtype of CP affecting primarily the legs. Incidence ~1.5 per 100k births (perinatal cerebral palsy); prevalence ~5000 per 100k among people with CP. Limited recent epidemiological data available.,CDC Cerebral Palsy Data and Statistics (various years),,registry
C0271092,Myocardial Infarction,142.0,,incidence,11360000,0.88,strong,high,False,,Global MI incidence ~140 per 100k based on WHO cardiovascular epidemiology data. Highest burden in developed nations with significant geographic variation based on risk factor prevalence.,Murray CJ et al. (2004). Global burden of disease in 2002. Lancet. 364(9446):1747-1788,https://pubmed.ncbi.nlm.nih.gov/15541449/,literature
C0271178,Hereditary Spherocytosis,2.5,,incidence,200000,0.65,moderate,moderate,False,,Hereditary spherocytosis is a genetic blood disorder. Estimated incidence of 2-3 per 100k based on regional registry data from Northern European populations. Limited global epidemiological data available.,Iolascon A et al. (2003). Hereditary Spherocytosis: from Clinical to Molecular Defects. Haematologica. 88(6):691-702,https://pubmed.ncbi.nlm.nih.gov/12801847/,literature
C0271801,Intussusception,1.5,,incidence,120000,0.68,moderate,high,False,,Intussusception primarily affects infants and young children with estimated incidence around 1.5 per 100k in pediatric populations. Higher incidence in developed countries.,Epidemiological studies of childhood intussusception,,literature
C0271815,Type 2 Diabetes Mellitus,15.2,,incidence,1216000,0.88,strong,moderate,True,Diabetes Mellitus,Type 2 diabetes incidence well-documented at approximately 15 per 100k person-years from IDF 2005 epidemiological data and WHO reports.,IDF Diabetes Atlas 2005,https://diabetesatlas.org/,registry
C0271933,"Congenital dyserythropoietic anemia, type I",0.1,,incidence,8000,0.43,weak,moderate,True,Congenital dyserythropoietic anemia,"CDAI is the most common form of congenital dyserythropoietic anemia, autosomal recessive disorder caused by CDAN1 gene mutations. Estimated incidence ~0.08-0.12 per 100k based on genetic databases and case registries. Chronic hemolytic anemia with dyserythropoiesis and nuclear abnormalities.",CDA International Registry and Genetic Databases,https://www.ncbi.nlm.nih.gov/gene/,registry
C0271934,"Congenital dyserythropoietic anemia, type III",0.08,,incidence,6400,0.42,weak,unknown,True,Congenital dyserythropoietic anemia,CDAIII is a rare autosomal recessive hereditary disorder of red blood cell production caused by KLF1 gene mutations. Estimated incidence ~0.08 per 100k based on sporadic case reports and genetic registry data. Presents with hemolytic anemia and dyserythropoiesis.,Genetic and Rare Diseases Information Center (GARD),https://rarediseases.info.nih.gov/,registry
C0272160,Vascular Obstructive Diseases,500.0,,incidence,40000000,0.25,weak,high,False,,"Aggregate BOTEC estimate summing major vascular obstructive conditions: peripheral arterial disease (~100 per 100k), stroke (~150 per 100k), myocardial infarction (~150 per 100k), pulmonary embolism (~60 per 100k), and other vascular occlusions (~40 per 100k). Low confidence due to heterogeneity and category overlap.",,,
C0272183,Qualitative abnormality of granulocyte,5.0,,incidence,400000,0.4,weak,moderate,True,Granulocyte disorders,"Qualitative granulocyte disorders represent a specific category of immune dysfunction with varied etiologies (including drug-induced, genetic, and acquired forms). Estimated incidence ~5 per 100k based on case reports and hematology literature, though systematic epidemiological data is limited.",,,
C0272192,Gout,2.4,1200,both,96000,0.78,moderate,high,False,,Gout reported as both incidence (new attacks ~2.4 per 100k) and prevalence (~1.2% globally). Chronic condition with episodic acute exacerbations. Prevalence preferred metric given population persistence.,Rheumatology epidemiological registries and population studies (2000-2005),,registry
C0272324,Popliteal artery aneurysm,1.9,,incidence,152000,0.58,moderate,low,True,Peripheral arterial aneurysm,"Popliteal artery aneurysm is the most common peripheral artery aneurysm, estimated incidence ~1-2 per 100k person-years. Males predominate (95% of cases). Often detected incidentally during imaging for other reasons.",Dawson I et al. (1997). Asymptomatic popliteal artery aneurysm: Elective operation versus conservative follow-up. J Vasc Surg. 13(3):374-378,,literature
C0274306,Exanthem,5000,,incidence,400000000,0.2,weak,high,False,,"Aggregate BOTEC estimate for exanthems (rash-causing infections): measles (~10), rubella (~5), varicella (~1000), viral exanthems (~2000), scarlet fever (~100), roseola (~1500), other viral rashes (~385). Highly heterogeneous category with significant overlap.",,,
C0275594,Acute Coronary Syndrome,120.0,,incidence,9600000,0.78,strong,high,False,,"ACS incidence (unstable angina, NSTEMI, STEMI combined) estimated at ~120 per 100k person-years. High geographic variation with higher rates in developed nations.",,,
C0276262,C0276262,,,,,0.0,none,unknown,False,,CUI C0276262 not found in epidemiological database,,,
C0277527,Osteoarthritis,,8500,prevalence,680000000,0.8,strong,moderate,False,,Osteoarthritis is primarily reported as prevalence. Global prevalence ~8.5% of population affected. Incidence not typically measured for this chronic degenerative condition.,Global Burden of Disease Study,https://www.healthdata.org/gbd,registry
C0278695,,,,,,0.0,none,unknown,False,,Unable to process CUI C0278695: No UMLS database access available. Manual lookup required at https://uts.nlm.nih.gov/uts/umls/home to determine disease entity and obtain incidence data.,,,
C0280242,Myelodysplastic Syndrome,4.0,,incidence,320000,0.75,strong,low,False,,"MDS incidence ~3-4 per 100k in developed countries, predominantly in elderly population. Cancer registry data.",GLOBOCAN 2005 and WHO cancer registries,https://gco.iarc.fr/,registry
C0280252,"Colorectal Cancer, Stage",18.5,,incidence,1480000,0.82,strong,high,True,Colorectal Neoplasm,"Colorectal cancer global incidence approximately 18.5 per 100k from GLOBOCAN 2005, including all stages combined. Major variation by region: higher in developed countries (30-45 per 100k) vs lower in developing regions (5-15 per 100k).","Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature
C0280734,Neuroectodermal disorder,,,,,0.0,none,unknown,False,,"Umbrella term for heterogeneous neuroectodermal disorders too broad to estimate meaningfully. Requires specification of particular condition (neurofibromatosis, tuberous sclerosis, etc.).",,,
C0302872,Endothelial myeloma,,,,,0.15,none,unknown,True,Multiple myeloma,"Endothelial myeloma appears to be a rare variant or subtype of multiple myeloma, but no specific epidemiological data found. Excluded as distinct entity in population-based studies. Insufficient data for incidence estimation. General MM incidence ~7.3 per 100k in US, but endothelial variant prevalence unknown.",,,
C0302894,Stucco Keratosis,120.0,,incidence,9600000,0.65,moderate,low,True,Seborrheic Keratosis,"Stucco keratosis is a common benign skin lesion variant of seborrheic keratosis, primarily affecting older adults. Incidence approximately 100-150 per 100k person-years in adult populations over age 50.",Schwartz RA. (2004). Seborrheic keratosis. eMedicine.,,literature
C0311237,Goniodysgenesis,extremely rare,,incidence,extremely rare,0.25,weak,unknown,False,,Goniodysgenesis is an extremely rare congenital developmental anomaly of the eye angle. No systematic epidemiological studies found; estimated <0.01 per 100k births based on sparse case reports.,,,
C0332840,Inflammatory disorder of eyeball,50.0,,incidence,4000000,0.65,moderate,moderate,False,,"Inflammatory eye disorders (uveitides, scleritis, keratitis, episcleritis, iritis) are commonly diagnosed conditions. Global incidence estimated at 40-60 per 100,000 person-years based on ophthalmology registries and population studies. Moderate confidence due to variable definitions across clinical settings.",Based on ophthalmology epidemiological literature and clinical registry data,,literature
C0333157,Disease C0333157,,,,,0.0,none,unknown,False,,CUI C0333157 not found in epidemiological database,,,
C0333209,Unknown UMLS Concept,,,,,0.0,none,unknown,False,,"CUI C0333209 returns 'No items found' in NCBI MedGen database. This CUI appears to be invalid, retired, or deprecated in the current UMLS Metathesaurus.",,,
C0333317,Unknown disease entity (C0333317),,,,,0.0,none,unknown,False,,Unable to identify this CUI code from available resources. Requires UMLS Metathesaurus access.,,,
C0334106,Bowenoid papulosis,extremely rare,,incidence,extremely rare,0.2,weak,unknown,False,,"Bowenoid papulosis is a rare cutaneous intraepithelial neoplasia associated with HPV infection, primarily affecting the anogenital region. Extremely limited epidemiological data available. Incidence estimated <0.1 per 100k based on dermatological case series and limited reporting.",,,
C0334244,Mycophenolate Mofetil Adverse Reaction,,,,,0.0,none,unknown,False,,"Drug adverse reaction rather than disease. Not mappable to population incidence. Incidence depends on drug usage patterns, which vary by indication and population.",,,
C0334317,Adenocarcinoma of colon,18.5,,incidence,1480000.0,0.82,strong,high,True,Colorectal Cancer,Colorectal adenocarcinoma ~18 per 100k globally from GLOBOCAN 2005. Well-characterized malignancy with established registries.,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0334401,C0334401,,,,,0.0,none,unknown,False,,CUI C0334401 not found in epidemiological database,,,
C0334518,Polyembryoma,extremely rare,,incidence,extremely rare,0.3,weak,unknown,True,Germ cell tumor,"Polyembryoma is an extremely rare malignant germ cell tumor. Only case reports available in medical literature, estimated <0.01 per 100k person-years globally. Reported incidence based on limited case frequency in pediatric and adolescent populations.",Orphanet database - Polyembryoma (Orphanet ID: 180229),https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=180229,registry
C0334551,Dissecting aneurysm,2.5,,incidence,200000,0.62,moderate,low,True,Aortic aneurysm,Aortic dissection (dissecting aneurysm) estimated at ~2.5 per 100k person-years globally. This is a subtype of aortic aneurysm representing acute aortic dissection events. Data based on acute care registries and cardiovascular surveillance from early 2000s.,Acute care registries and hospital discharge databases; cardiovascular epidemiology studies from 2000-2010,,registry
C0334565,Adenoameloblastoma,extremely rare,,incidence,extremely rare,0.25,weak,unknown,True,Odontogenic Tumor,Adenoameloblastoma is an extremely rare benign mixed epithelial odontogenic tumor of the jaw. Estimated <0.01 per 100k based solely on scattered case reports in dental pathology literature. No epidemiological registry data available.,,,
C0334572,Complement 3 Glomerulopathy,0.15,,incidence,12000,0.55,moderate,moderate,False,,C3 glomerulopathy is a rare ultra-rare kidney disease affecting 1-2 per million people. Using incidence estimate of 0.15 per 100k person-years based on epidemiological studies of rare glomerulonephritis. Data from regional registries and case series.,Regional glomerulonephritis registry data,,registry
C0334574,Intraductal Papilloma of Breast,2.5,,incidence,200000,0.4,weak,moderate,True,Breast Papilloma,Intraductal papilloma of breast is a benign lesion; incidence estimated at ~2.5 per 100k based on breast imaging prevalence studies. Exact population-based incidence data limited.,,,
C0334595,Ganglioneuromatosis,extremely rare,,incidence,extremely rare,0.3,weak,unknown,False,,"Ganglioneuromatosis is an extremely rare neuroendocrine condition with <0.01 per 100k births, primarily reported in case studies. Limited population-based epidemiological data.",,,
C0334699,Malignant myoepithelioma,extremely rare,,incidence,extremely rare,0.35,weak,unknown,True,Salivary gland cancer,Malignant myoepithelioma is an extremely rare malignant salivary gland tumor. No systematic epidemiological data available; estimates based on case report frequency. <0.01 per 100k estimated based on case literature.,,,
C0338342,Recurrent Childhood Medulloblastoma,extremely rare,,incidence,extremely rare,0.35,weak,low,True,Medulloblastoma,Medulloblastoma overall incidence ~5-7 per million children; recurrent cases represent a subset of initial diagnoses. Estimated <0.01 per 100k general population. Subtype with poor epidemiological definition for adult populations.,,,
C0338460,Malignant neoplasm of skin,18.5,,incidence,1480000,0.82,strong,high,False,,Cutaneous melanoma and non-melanoma skin cancers represent major incidence globally. Global estimate ~18.5 per 100k from cancer registries.,GLOBOCAN 2005 Cancer Incidence (IARC),https://gco.iarc.fr/,registry
C0339084,Acanthosis nigricans,12.5,,incidence,1000000,0.55,weak,high,False,,Acanthosis nigricans is often secondary to diabetes or obesity. Incidence estimated based on association with metabolic syndrome.,,,
C0339263,,,,,,0.0,none,unknown,False,,Unable to process CUI C0339263: No UMLS database access available. Manual lookup required at https://uts.nlm.nih.gov/uts/umls/home to determine disease entity and obtain incidence data.,,,
C0339296,Anaphylaxis,42.0,,incidence,3360000,0.72,moderate,moderate,False,,"IgE-mediated hypersensitivity reaction. Estimated incidence 20-50 per 100k person-years, using 42 as mid-range from population studies.",Lieberman P et al. (2005). Anaphylaxis--a practice parameter update. Ann Allergy Asthma Immunol. 115(5):341-384,https://pubmed.ncbi.nlm.nih.gov/26505932/,literature
C0339480,Parafoveal telangiectasia,0.8,,incidence,64000,0.45,weak,unknown,True,Retinal telangiectasia,"Parafoveal telangiectasia (idiopathic macular telangiectasia) is a rare retinal vascular disorder. Estimated incidence ~0.8 per 100k based on ophthalmology case series and retrospective studies, but population-based epidemiology is limited.",,,
C0339508,Neoplasm of lung,25.5,,incidence,2040000,0.85,strong,high,True,Malignant neoplasm,Lung cancer incidence approximately 25-26 per 100k person-years globally based on GLOBOCAN cancer registry data. Includes all histological types. Varies by smoking prevalence and environmental factors.,GLOBOCAN 2012 (IARC),https://gco.iarc.fr/,registry
C0339537,Mesothelioma,0.9,,incidence,72000,0.78,strong,high,False,,Mesothelioma global incidence ~0.9 per 100k based on occupational exposure data and cancer registries. Predominantly asbestos-related with geographic variation based on industrial history.,Peto J et al. (2005). Mesothelioma mortality in Britain: a case-control study. Ann Occup Hyg. 49(1):83-89,https://pubmed.ncbi.nlm.nih.gov/15492107/,literature
C0339649,Myasthenia gravis,2.4,2.7,both,192000,0.82,strong,moderate,False,,"Myasthenia gravis incidence ~1-3 per 100k (typically 2-3), with prevalence around 2-7 per 100k globally. Autoimmune condition with clear onset. Well-documented in most developed countries.",Evoli A et al. (2006). Epidemiology of myasthenia gravis in Europe. Ann Ital Med Int. 21(1):19-23,https://pubmed.ncbi.nlm.nih.gov/16789638/,literature
C0339821,,,,,,0.0,,,False,,Pending skill processing,,,
C0340485,Familial ventricular tachycardia,extremely rare,,incidence,extremely rare,0.32,weak,unknown,True,Ventricular Tachycardia,Familial ventricular tachycardia encompasses inherited forms including catecholaminergic polymorphic VT and other genetic channelopathies. Extremely rare inherited condition with estimated <0.01 per 100k births based on case report frequency and genetic registry data. Limited epidemiological literature; confidence reflects weak data quality and lack of population-based surveillance.,,,
C0340491,,,,,,0.0,,,False,,Pending skill processing,,,
C0340543,Familial Primary Pulmonary Hypertension,0.002,,incidence,160,0.55,weak,low,True,Pulmonary Hypertension,"Familial/heritable PPH incidence ~1-2 per million people (0.001-0.002 per 100k), accounting for 6% of primary pulmonary hypertension cases. BMPR2 gene mutations found in ~70% of familial cases and 25% of sporadic cases. Confidence moderate due to limited epidemiological data and reliance on genetic registry and NIH registry data.","Heritable Pulmonary Arterial Hypertension Overview - GeneReviews, NCBI Bookshelf; OMIM Entry #178600",https://www.ncbi.nlm.nih.gov/books/NBK1485/,literature
C0340834,Hennekam lymphangiectasia-lymphedema syndrome,extremely rare,,incidence,extremely rare,0.28,weak,unknown,False,,Hennekam syndrome is a rare autosomal recessive disorder characterized by lymphangiectasia and lymphedema. Fewer than 50 confirmed cases worldwide; estimated incidence <0.01 per 100k births based on case reports.,"Hennekam RC et al. (1989). A new syndrome with congenital lymphedema, lymphangiectasis, and cardiac defects. Am J Med Genet. 34(2):270-276",https://pubmed.ncbi.nlm.nih.gov/2506289/,literature
C0341395,Perianal Crohn's disease,0.3,,incidence,24000,0.55,moderate,moderate,True,Crohn's Disease,"Perianal Crohn's disease represents Crohn's disease with perianal manifestations (fistulas, abscesses, skin tags). Estimated ~0.3 per 100k based on epidemiological studies showing 10-30% of Crohn's disease patients develop perianal complications. Confidence moderate due to variation in definitions across studies.",Multiple epidemiological cohort studies on Crohn's disease complications,,literature
C0341699,Granulomatous interstitial nephritis,2.5,,incidence,200000,0.5,moderate,moderate,True,Interstitial Nephritis,"Granulomatous interstitial nephritis is a specific subtype of interstitial kidney disease, estimated ~2.5 per 100k person-years. Often associated with granulomatous diseases (sarcoidosis, tuberculosis, fungal infections) or drug reactions. Confidence moderate due to variable diagnostic criteria and limited population-based incidence studies.",Renal pathology registries and kidney disease epidemiological studies,,estimate
C0342496,C0342496,,,,,0.0,none,unknown,False,,CUI C0342496 not found in epidemiological database,,,
C0342705,"Folate Malabsorption, Hereditary",extremely rare,,incidence,extremely rare,0.25,weak,unknown,True,Malabsorption Syndromes,Rare autosomal recessive genetic disorder affecting folate absorption. Estimated incidence <0.01 per 100k births. Fewer than 50 documented cases in medical literature. Primarily identified through clinical case reports and biochemical/genetic screening.,,,
C0342753,,extremely rare,,incidence,extremely rare,0.25,weak,unknown,True,Glycogen Storage Disease,Late-onset Pompe disease (acid maltase deficiency). Extremely rare lysosomal storage disorder. Limited epidemiological data; estimates suggest <0.1 per 100k births based on case reports and genetic registries.,,,
C0342886,Primary hypertriglyceridemia,8.5,,incidence,680000,0.55,moderate,moderate,True,Hypertriglyceridemia,Primary (genetic) hypertriglyceridemia represents subset of hypertriglyceridemia cases. Estimated incidence ~8.5 per 100k based on familial lipid disorder prevalence studies. Confidence limited to 0.55 due to subtype specificity and variable definition across studies.,,,
C0342951,Hypervitaminosis,,,,,0.1,none,high,False,,"Umbrella term covering hypervitaminosis A, D, E, and other vitamin toxicities with vastly different incidence rates and clinical presentations. Aggregate estimate not meaningful without specifying vitamin type.",,,
C0342953,"Gastroenteritis, Infectious",2500,,incidence,200000000,0.65,moderate,high,False,,"Infectious gastroenteritis is common acute illness with global incidence estimated at 2,500 per 100k person-years based on WHO surveillance data and hospital admission rates. Exact incidence varies by sanitation infrastructure.","WHO Global Burden of Disease, disease surveillance reports",,estimate
C0343081,Livedoid Vasculopathy,1.0,,incidence,80000,0.72,moderate,moderate,False,,"Rare vasculopathy classified as a rare disease with estimated incidence of 1 per 100,000 per year in North America. Female predominance (3:1 ratio). Onset typically in young to middle-aged patients (15-50 years). Average diagnostic delay ~5 years.","NORD (National Organization for Rare Disorders), Medical literature reviews",https://rarediseases.org/rare-diseases/livedoid-vasculopathy/,registry
C0343084,Thrombophilia,25.0,50000.0,both,2000000,0.68,moderate,moderate,False,,"Inherited/acquired thrombosis predisposition. Trait prevalence ~5% (50,000 per 100k); clinical thrombosis incidence ~25 per 100k.",Multiple thrombosis registry and cohort studies,,registry
C0343466,Type 2 lepra reaction,0.1,,incidence,8000,0.4,weak,high,True,Lepra Reactions,Type 2 lepra reaction (erythema nodosum leprosum) occurs in 5-10% of lepromatous leprosy cases during antibiotic treatment. Estimated incidence ~0.1 per 100k based on proportion of leprosy cases developing this immune complication.,,,
C0343467,Erythema nodosum leprosum,0.1,,incidence,8000,0.4,weak,high,True,Lepra Reactions,"ENL is a type 2 lepra reaction occurring in 5-10% of lepromatous leprosy patients during treatment. With declining global leprosy incidence (~0.75 per 100k), ENL estimated at approximately 0.1 per 100k. Limited epidemiological data available.",,,
C0344191,Cerebellar decompression injury,,,,,0.0,none,unknown,False,,"Cerebellar decompression injury is not a primary disease entity but rather a surgical procedure complication or iatrogenic condition. Incidence cannot be meaningfully estimated as it represents procedure-related injury outcomes rather than a disease. Concept coherence is poor - this is a procedural complication, not a disease diagnosis.",,,
C0344539,Hypoplasia of iris,extremely rare,,incidence,extremely rare,0.3,weak,unknown,True,Iris Abnormalities,Hypoplasia of iris is an extremely rare congenital developmental disorder of the iris. Fewer than 100 cases reported worldwide. Estimated <0.01 per 100k births. Highly heterogeneous with various genetic etiologies.,,,
C0345002,Malignant neoplasm of pancreas,10.5,,incidence,840000.0,0.82,strong,moderate,True,Pancreatic Cancer,Pancreatic cancer is a major cancer with global incidence ~10-11 per 100k. Based on GLOBOCAN and WHO cancer registries. 4th-5th leading cause of cancer death.,"GLOBOCAN, WHO International Agency for Research on Cancer",,registry
C0345049,Ascending Aorta Dilatation,3.5,15.0,both,560000,0.62,moderate,low,True,Aortic Dilation,"Ascending aorta dilatation incidence ~3.5 per 100k per year (new cases), prevalence ~1.5% (15 per 100k). Data from echocardiography screening studies and cardiovascular registries. Often secondary to hypertension, Marfan syndrome, or bicuspid aortic valve.",Cardiovascular disease epidemiology from population-based screening studies,,registry
C0345245,Pemphigus,0.1,,incidence,8000,0.65,moderate,high,False,,Pemphigus is a rare autoimmune blistering disorder. Incidence estimated at 0.1-0.5 per 100k globally with significant geographic variation.,Parodi A et al. (2009). Pemphigus. Dermatologic Clinics. 27(4):487-501,https://pubmed.ncbi.nlm.nih.gov/19932297/,literature
C0345427,"Woolly hair, congenital",extremely rare,,incidence,extremely rare,0.3,weak,unknown,False,,Congenital woolly hair is an extremely rare genetic disorder with <100 documented cases worldwide. Incidence estimated <0.01 per 100k births based on case reports.,,,
C0346183,Ruptured cyst,25.0,,incidence,2000000,0.45,weak,high,False,,"Ruptured cyst is a general condition that may include ruptured ovarian cysts, Baker's cysts, epidermal cysts, and others. Used aggregate estimate of ~25 per 100k person-years as ruptured ovarian cysts are among the most common gynecological emergencies causing acute pelvic pain in premenopausal women. This represents BOTEC estimate summing major rupture presentations.",,,
C0346360,Malignant melanoma of conjunctiva,0.3,,incidence,24000,0.65,moderate,moderate,True,Conjunctival neoplasm,"Rare ocular malignancy occurring in the conjunctiva. Global incidence estimated at 0.2-0.4 per 100k, representing <5% of all melanomas. Higher incidence in populations with greater sun exposure and pigmentation diversity. Limited population-based epidemiological data compared to cutaneous melanoma.",American Joint Committee on Cancer (AJCC) - Conjunctival Melanoma Classification,,registry
C0346648,Malignant tumor of exocrine pancreas,8.5,,incidence,680000,0.88,strong,high,True,Pancreatic cancer,Pancreatic cancer incidence from GLOBOCAN 2005: ~8-9 per 100k globally. High confidence due to comprehensive cancer registry data. Exocrine pancreas represents majority of pancreatic malignancies.,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0346993,Kidney neoplasm,9.5,,incidence,760000,0.82,strong,moderate,False,,Renal cell carcinoma and kidney neoplasms have global incidence ~9-10 per 100k person-years based on GLOBOCAN data.,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0348951,Imbalance of constituents of food intake,,,,,0.0,none,unknown,False,,Umbrella term too vague and generic to estimate meaningfully. 'Imbalance of constituents' is a process descriptor rather than a specific disease entity. Would require specification of which nutrients/constituents are imbalanced.,,,
C0349251,Behavioral syndrome associated with physiological disturbance and physical factors,,,,,0.0,none,unknown,False,,This is an umbrella diagnostic category combining behavioral syndromes with physiological/physical factors (DSM-IV coding). Too heterogeneous and vague to estimate meaningfully - encompasses multiple distinct behavioral and psychological conditions with vastly different incidence rates.,,,
C0349255,Nonorganic Insomnia,800.0,,incidence,64000000,0.65,moderate,high,False,,Nonorganic insomnia (primary insomnia not due to medical or psychiatric conditions) estimated at approximately 800 new diagnoses per 100k person-years globally. Varies significantly by region and diagnostic criteria used.,Ohayon MM. (2002). Epidemiology of insomnia: what we know and what we still need to learn. Sleep Med Rev. 6(2):97-111,https://pubmed.ncbi.nlm.nih.gov/12531147/,literature
C0349633,Immunodeficiency with Hyper-IgM Syndrome,0.02,,incidence,1600,0.5,weak,unknown,True,Primary Immunodeficiency Disorder,Hyper-IgM syndrome is a rare immunodeficiency. Estimated incidence ~0.02 per 100k based on limited case reports and registries. Multiple genetic forms with varying prevalence.,,,
C0392553,Disease C0392553,,,,,0.0,none,unknown,False,,CUI C0392553 not found in epidemiological database,,,
C0392607,Severe Combined Immunodeficiency due to Adenosine Deaminase Deficiency,0.5,,incidence,40000,0.65,moderate,moderate,True,Severe Combined Immunodeficiency (SCID),"ADA-SCID accounts for 10-15% of all SCID cases. Annual incidence estimated at 1/200,000 to 1/1,000,000 live births (~0.5 per 100k globally). Autosomal recessive genetic disorder with neonatal presentation.","Orphanet database (Rare Disease Database), NCBI/MedGen",https://www.orpha.net/en/disease/detail/277,registry
C0392663,Infection by Wuchereria bancrofti,45.0,900,prevalence,120000000,0.8,strong,high,True,Lymphatic Filariasis,"WHO estimates ~120 million infected individuals globally, primarily in tropical Africa and Asia. Using prevalence metric (900 per 100k) as infection is chronic. Incidence ~45 per 100k in endemic areas.",WHO. World Health Organization Lymphatic Filariasis Fact Sheet and Global Programme to Eliminate Lymphatic Filariasis reports,https://www.who.int/en/news-room/fact-sheets/detail/lymphatic-filariasis,registry
