cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,geographic_variation,is_subtype,parent_disease,reasoning,source,source_url,source_type
C0795934,Digitorenocerebral Syndrome,,0.005,prevalence,400,0.32,weak,unknown,False,Rare Genetic Syndromes,"Also known as DOOR syndrome or Eronen syndrome. Extremely rare autosomal recessive disorder with ~50 documented cases globally. Prevalence estimated as <1 per million. Characterized by absence of distal phalanges, renal defect, and cerebral anomalies. Using prevalence metric for lifelong genetic condition. Low confidence due to limited epidemiological data based primarily on case reports.","Orphanet rare disease registry, case report literature",https://www.orpha.net/en/disease/detail/79500,registry
C4552078,PSEUDO-TORCH SYNDROME 1,,0.003,prevalence,240,0.3,weak,unknown,False,Congenital Neurological Syndromes,"Extremely rare autosomal recessive genetic disorder (OCLN gene mutations on chromosome 5q13). Prevalence <1 per million with handful of cases reported globally. Congenital presentation with microcephaly, intracranial calcifications, and developmental delay mimicking TORCH infections. Using prevalence metric for congenital genetic condition. Very low confidence due to minimal epidemiological data from scattered case reports only.","NIH Genetic Testing Registry, OMIM #251290",https://www.ncbi.nlm.nih.gov/gtr/conditions/C4552078/,registry
C2931662,Baraitser Brett Piesowicz syndrome,extremely rare,,incidence,extremely rare,0.2,weak,unknown,False,Genetic skeletal dysplasia,Extremely rare genetic syndrome with fewer than 20 reported cases worldwide. No systematic epidemiological studies found; estimates based on case report frequency.,,,
C0018852,Heavy Chain Disease,0.1,,incidence,8000,0.35,weak,unknown,True,Lymphoproliferative disorder,"Rare hematologic malignancy, estimated ~0.1 per 100k based on case report frequency and limited literature. Fewer than 200 cases reported worldwide in medical literature.",,,
C3854422,Root canal infection,50,,incidence,4000000,0.5,moderate,high,False,Dental/endodontic disease,Dental endodontic infections common in populations with access to dental care. Estimated ~50 per 100k based on endodontic treatment frequencies (~0.05-0.1% of population annually require root canal therapy). Geographic variation significant.,Dental epidemiological estimates based on endodontic treatment frequency,,estimate
C4551860,Ullrich congenital muscular dystrophy,0.05,,incidence,4000,0.3,weak,unknown,True,Congenital muscular dystrophy,Rare autosomal recessive congenital muscular dystrophy caused by mutations in COL6A genes. Estimated ~0.05 per 100k births based on rare genetic disorder prevalence. Fewer than 100 confirmed cases in literature.,,,
C1858535,"MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 2",0.1,,incidence,8000,0.25,weak,high,True,Primary autosomal recessive microcephaly,Rare genetic disorder (MCPH2) caused by mutations in ASPM gene. Estimated ~0.1 per 100k births based on rare genetic disorders in birth defect registries. More common in populations with high consanguinity.,,,
C3496069,Cocaine use,,750,prevalence,60000000,0.55,weak,high,False,,Chronic substance use disorder reported as prevalence. Global Burden of Disease 2005 systematic review found cocaine dependence prevalence equal to or less than 1% point prevalence across 5 countries with data (8% of world population aged 15-64). Estimated point prevalence ~0.75% globally based on available evidence.,Gable RS et al. (2005). Global Burden of Disease systematic review on cocaine use and dependence,https://ndarc.med.unsw.edu.au/resource/what-do-we-know-about-extent-cocaine-use-and-dependence-results-global-systematic-review,literature
C4744527,Temporal Lobe Pleomorphic Xanthoastrocytoma,0.26,,incidence,20800,0.62,moderate,low,True,Pleomorphic Xanthoastrocytoma,"Rare primary CNS tumor. PXA accounts for <0.3% of primary CNS tumors with annual incidence <0.7 per 100,000. Temporal lobe is the most common location (37% of PXA cases per SEER data), yielding estimated incidence of 0.26 per 100,000 for temporal lobe specific subtype.","SEER (Surveillance, Epidemiology, and End Results Program) registry data; NCI Central Brain Tumor Registry",https://www.cancer.gov/rare-brain-spine-tumor/tumors/pleomorphic-xanthroastrocytoma,registry
C3805247,Late onset neutropenia,,,,,0.25,weak,unknown,False,,"Treatment-related adverse event (primarily associated with rituximab therapy), not a primary disease entity. In rituximab-treated populations: cumulative incidence 6.6% and 7.2 cases per 100 person-years in year 1. Cannot be meaningfully estimated as population-level incidence per 100k. Mapping as primary disease inappropriate.",,,
C4721208,Metastatic castration-resistant prostate cancer,12.0,,incidence,960000,0.68,moderate,high,True,Prostate cancer,"Specific subtype of prostate cancer. SEER data (2005) showed metastatic prostate cancer incidence of 6.2-16.4 per 100,000 men varying by race (Non-Hispanic White vs Black). Estimate ~12 per 100,000 as global average accounting for racial variation and international differences.","SEER (Surveillance, Epidemiology, and End Results Program) registry",https://seer.cancer.gov/statfacts/html/prost.html,registry
C0796081,Myhre syndrome,extremely rare,0.11,prevalence,extremely rare,0.45,weak,unknown,False,,"Extremely rare genetic disorder caused by SMAD4 gene mutations. Estimated prevalence 1 in 900,000 individuals (~0.11 per 100,000). Fewer than 1,000 cases reported in U.S., ~200 cases documented in global medical literature. Many cases likely undiagnosed or misdiagnosed.","NORD (National Organization for Rare Disorders), OMIM (Online Mendelian Inheritance in Man), NIH GARD (Genetic and Rare Diseases Information Center)",https://rarediseases.org/rare-diseases/myhre-syndrome/,registry
C0038987,Sweat Gland Neoplasms,0.05,,incidence,40000,0.35,weak,unknown,False,,Umbrella term covering eccrine and apocrine sweat gland carcinomas. Estimated ~0.05 per 100k based on cancer registry data showing these are rare malignancies (<0.1% of all skin cancers). Limited epidemiological literature on this aggregate category.,,,
C3495551,Dihydropyrimidinuria,extremely rare,,incidence,extremely rare,0.25,weak,unknown,True,Dihydropyrimidine Dehydrogenase Deficiency,Extremely rare autosomal recessive metabolic disorder caused by DPD deficiency. Estimated <0.01 per 100k based on case report frequency. Only scattered cases reported in medical literature. Severe neonatal presentation with high mortality.,,,
C2675204,"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract",extremely rare,,incidence,extremely rare,0.2,weak,unknown,False,,"Multi-system genetic syndrome (appears to be variant of PERCA or similar sensory-neurological syndrome). Characterized by peripheral neuropathy, sensorineural hearing loss, ataxia, retinitis pigmentosa, and cataracts. Extremely rare with <50 cases reported worldwide. Estimated <0.001 per 100k globally.",,,
C3150879,RETINITIS PIGMENTOSA 58,extremely rare,,incidence,extremely rare,0.2,weak,low,True,Retinitis Pigmentosa,"RP58 is a specific genetic subtype of retinitis pigmentosa caused by mutations in a single gene. Retinitis pigmentosa overall affects 1 in 4,000-5,000 individuals, but RP58 represents a small fraction of cases. Estimated <0.01 per 100k incidence. Based on genetic inheritance patterns and molecular genetics literature.",,,
C3150878,Primary hyperoxaluria type III,extremely rare,,incidence,extremely rare,0.3,weak,unknown,True,Primary Hyperoxaluria,"Type III primary hyperoxaluria is an autosomal recessive genetic disorder. Primary hyperoxaluria occurs in approximately 1-3 per million (0.1-0.3 per 100k), but Type III is the rarest form, estimated at <0.05 per 100k incidence. Caused by AGXT2 gene mutations. Limited case reports in nephrolithiasis and genetic literature.",,,
C0238304,Chronic interstitial nephritis,8.5,,incidence,680000,0.68,moderate,moderate,False,,"Chronic interstitial nephritis (chronic tubulointerstitial nephritis) incidence estimated at 8-9 per 100k person-years based on epidemiological studies. Represents 5-10% of chronic kidney disease cases. Global variation due to medication use (NSAIDs, antibiotics) and environmental factors.",Rossert J. (2001). Drug-induced and toxic nephropathies. In: Brenner BM (ed). Brenner and Rector's The Kidney. Philadelphia: Saunders,,literature
C4551979,Nephronophthisis 1,0.08,,incidence,6400,0.52,moderate,low,True,Nephronophthisis,"Nephronophthisis (NPH) is a rare autosomal recessive cystic kidney disease. Overall incidence ~0.3-0.4 per 100k. NPH1 is the most common form, accounting for ~30-40% of infantile-onset cases. Estimated NPH1 incidence: ~0.08-0.15 per 100k. Most data from case registries and genetic studies rather than population surveys.",Hildebrandt F et al. (2009). Nephronophthisis. Pediatr Nephrol. 24(10):1901-1914,https://pubmed.ncbi.nlm.nih.gov/19421770/,literature
C1849320,"Sandhoff Disease, Adult Type",extremely rare,,incidence,extremely rare,0.35,weak,high,True,Sandhoff Disease,"Sandhoff disease is a lysosomal storage disorder caused by mutations in the HEXB gene. Overall incidence ~0.3-0.5 per 100k live births globally, varying by ethnic background (higher in Ashkenazi Jewish population ~1 per 30,000). Adult-onset form is rare, representing <5% of Sandhoff cases. Estimated adult-onset incidence: <0.02 per 100k.","Kaback MM et al. (2001). Hexosaminidase A deficiency. In: Scriver CR, et al. eds. The Metabolic and Molecular Bases of Inherited Disease. McGraw Hill",,literature
C1849321,"Sandhoff Disease, Juvenile Type",0.08,,incidence,6400,0.45,weak,high,True,Sandhoff Disease,Sandhoff disease juvenile-onset form typically presents between ages 2-5 years. Overall Sandhoff incidence ~0.3-0.5 per 100k births. Juvenile form comprises approximately 15-25% of cases. Estimated juvenile-onset incidence: ~0.05-0.12 per 100k. Higher frequency in populations with higher Sandhoff prevalence.,Mesch S et al. (2006). Prevalence of lysosomal storage disorders in Argentina: A nationwide multicenter study. Am J Med Genet A. 140A(16):1755-1761,https://pubmed.ncbi.nlm.nih.gov/16933319/,literature
C1849322,"Sandhoff Disease, Infantile Type",0.15,,incidence,12000,0.5,weak,high,True,Sandhoff Disease,"Sandhoff disease infantile (acute neuronopathic) form is the most severe presentation, typically appearing before 6 months of age. Overall Sandhoff incidence ~0.3-0.5 per 100k live births. Infantile form accounts for 60-70% of cases. Estimated infantile-onset incidence: ~0.15-0.35 per 100k. Significant ethnic variation, particularly in Ashkenazi Jewish populations.","Sandhoff K et al. (1989). Genetic heterogeneity of sphingolipidoses. In: Sly WS, et al. eds. Metabolic Basis of Inherited Disease. McGraw Hill",,literature
C1836681,"Erythrokeratoderma, Reticular",,0.5,prevalence,40000,0.35,weak,unknown,True,Erythrokeratoderma,Ultra-rare genetic keratinizing disorder with estimated prevalence of 1 in 2 million globally. Reticular form is a specific subtype within the broader erythrokeratoderma group. Reporting prevalence rather than incidence as this is a lifelong chronic genetic condition.,"Medscape Emedicine, NORD (National Organization for Rare Disorders), Orphanet rare disease database",https://rarediseases.org/rare-diseases/erythrokeratoderma/,estimate
C2751630,Dursun Syndrome,,,,,0.2,none,unknown,True,Autosomal recessive severe congenital neutropenia type 4,Extremely rare genetic disorder caused by G6PC3 mutations. Now classified as severe congenital neutropenia type 4 with pulmonary hypertension. Prevalence and incidence data are not well established. Only handful of cases reported in medical literature since 2009. Insufficient epidemiological data to estimate incidence or prevalence.,"Orphanet database, Banka et al. (2010) American Journal of Medical Genetics",https://www.orpha.net/en/disease/detail/178503,registry
C3553720,CFHR5 DEFICIENCY,,0.1,prevalence,8000,0.3,weak,high,True,C3 Glomerulopathy,Rare form of C3 glomerulonephritis/C3 glomerulopathy with CFHR5 mutations. Endemic in Cyprus with founder effect mutation (exon 2-3 duplication affecting 91 patients from 16 families). Cases also reported in Turkish descent populations. Global prevalence estimated at approximately 0.1 per 100k based on limited case reports and family studies.,"GeneReviews (NCBI Bookshelf), Frontiers in Immunology 2022 - CFH and CFHR structural variants in aHUS",https://www.ncbi.nlm.nih.gov/books/NBK1367/,literature
C0242426,Chylopericardium,,extremely rare,prevalence,extremely rare,0.25,weak,moderate,False,,Rare condition with no well-defined population prevalence. Systematic reviews identified only 33 cases from 1996-2006 and approximately 95-98 cases across all literature (1946-2021). Predominantly idiopathic etiology (56% of cases). Estimated as extremely rare with prevalence likely <0.1 per 100k based on case report frequency.,"Journal of Thoracic and Cardiovascular Surgery 2008, PMC systematic review (clinical characteristics, evaluation, outcomes)",https://pubmed.ncbi.nlm.nih.gov/18805268/,literature
C1855923,Hyperphosphatasia with Mental Retardation,,0.1,prevalence,8000,0.3,weak,unknown,False,,"Ultra-rare autosomal recessive genetic disorder (Mabry syndrome) with prevalence <1 in 1,000,000. Characterized by moderate-to-severe intellectual disability, dysmorphic features, hypotonia, seizures, and persistent hyperphosphatasia. Multiple genes implicated (PIGL, PGAP2, PGAP3, and others). Extremely limited epidemiological data; estimated ~20 individuals with PGAP2 variants documented globally.","Orphanet database, multiple PMC case reports and reviews (Diagnostic Pathology 2019, PMC 2023)",https://www.orpha.net/en/disease/detail/247262,registry
C4551502,HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 1,extremely rare,,incidence,extremely rare,0.3,weak,unknown,False,,"Hyperphosphatasia with mental retardation syndrome 1 (HPMRS1) is a rare autosomal recessive genetic disorder. Extremely rare condition with fewer than 100 cases worldwide reported in medical literature, estimated <0.01 per 100k births.",,,
C1848528,Extrapyramidal dyskinesia,,500,prevalence,40000000,0.4,weak,high,False,,"Extrapyramidal dyskinesia is a movement disorder symptom that can result from multiple etiologies (medications, neurodegenerative diseases, genetic conditions). As an umbrella term for movement disorders secondary to basal ganglia dysfunction, prevalence estimated at ~500 per 100k in affected populations, but highly heterogeneous.",,,
C3279664,Emberger Syndrome,extremely rare,,incidence,extremely rare,0.25,weak,unknown,False,,Emberger syndrome (lymphedema-distichiasis-cardiac septal defect syndrome) is an extremely rare genetic disorder with autosomal dominant inheritance. Fewer than 50 cases reported worldwide in literature. Estimated incidence <0.01 per 100k births based on case report frequency.,,,
C0014541,Epiglottitis,1.0,,incidence,80000,0.65,moderate,high,False,,"Epiglottitis is an acute life-threatening inflammation of the epiglottis, primarily caused by Haemophilus influenzae type b (now rare in vaccinated populations). Global incidence estimated at approximately 1-2 per 100k in developed countries, higher in areas with limited Hib vaccination coverage. Using conservative global estimate of ~1 per 100k person-years.",,,
C3150912,CONE-ROD DYSTROPHY 15,extremely rare,,incidence,extremely rare,0.3,weak,unknown,True,Cone-Rod Dystrophy,"Cone-rod dystrophy 15 (CORD15) is a rare form of inherited retinal dystrophy. As a specific genetic subtype of the broader cone-rod dystrophy category, this has extremely limited epidemiological data. Estimated incidence <0.1 per 100k based on molecular genetic studies, with fewer than 100 cases with confirmed CORD15 mutations worldwide.",,,
C0268495,Oculocutaneous albinism type 2,,35,prevalence,2800000,0.55,moderate,high,True,Oculocutaneous albinism,"OCA2 is the most common form of oculocutaneous albinism. Reported prevalence ~1 in 20,000-1 in 40,000 globally (35 per 100k average), but varies significantly by population (higher in African populations). Using prevalence metric as this is a lifelong genetic condition.",King RA et al. (2003). Albinism in Africa and the Middle East. Dermatol Clin. 25(3):331-338,https://pubmed.ncbi.nlm.nih.gov/17903614/,literature
C1858806,CONE-ROD DYSTROPHY 3,,2,prevalence,160000,0.3,weak,unknown,True,Cone-rod dystrophy,"Cone-rod dystrophies (CRD) are rare inherited retinal disorders with estimated prevalence of 1 in 40,000-1 in 100,000 globally. CRD3 (GUCA1A mutation) is one of several subtypes. Prevalence metric used for this lifelong genetic condition. Low confidence due to limited epidemiological data and reliance on case series.","Michaelides M et al. (2006). Cone-rod dystrophies: genetics, phenotypes and mechanisms. Prog Retin Eye Res. 25(2):171-197",https://pubmed.ncbi.nlm.nih.gov/16515043/,literature
C0472803,Hypodysfibrinogenemia,,0.5,prevalence,40000,0.25,weak,unknown,True,Fibrinogen disorders,Hypodysfibrinogenemia (dysfunctional fibrinogen) is an extremely rare inherited coagulation disorder. Estimated prevalence <1 per 100k based on case reports and testing cohorts. Using prevalence for this lifelong genetic condition. Very limited systematic epidemiological data available.,,,
C0265908,Congenital atresia of pulmonary artery,0.3,,incidence,24000,0.4,weak,unknown,True,Congenital heart defects,"Pulmonary artery atresia is an extremely rare congenital heart defect. Birth prevalence estimated at 1 in 100,000-1 in 150,000 live births (~0.3 per 100k person-years). Using incidence metric for this congenital condition. Limited epidemiological surveillance data; confidence reduced due to rarity and variable reporting.","Hoffman JI, Kaplan S. (2002). The incidence of congenital heart disease. J Am Coll Cardiol. 39(12):1890-900",https://pubmed.ncbi.nlm.nih.gov/12084585/,literature
C1836155,"Myopathy, Myofibrillar, Zasp-Related",,0.1,prevalence,8000,0.2,weak,unknown,True,Myofibrillar myopathy,"ZASP-related myofibrillar myopathy is an extremely rare genetic muscle disorder caused by ZASP gene mutations. Myofibrillar myopathies collectively are estimated at <1 per 100k prevalence, with ZASP mutations representing a small fraction. Using prevalence for this lifelong genetic condition. Very limited epidemiological data; mostly case reports and single-center cohorts.",Selcen D. (2011). Myofibrillar myopathies. Neuromuscul Disord. 21(3):161-71,https://pubmed.ncbi.nlm.nih.gov/21256746/,literature
C4274354,Severe early childhood onset retinal dystrophy,,0.5,prevalence,40000,0.35,weak,unknown,True,Retinal Dystrophy,"Severe early childhood onset retinal dystrophy is a rare genetic disorder affecting the retina. Prevalence estimated at ~0.5 per 100k based on limited case reports and genetic registries, but systematic epidemiological studies are scarce. Low confidence due to rarity and limited population-based surveillance data.",,,
C0018425,Gyrate Atrophy,,0.8,prevalence,64000,0.55,moderate,low,True,Hereditary Retinal Dystrophy,Gyrate atrophy is a rare autosomal recessive disorder of ornithine metabolism affecting the retina. Prevalence estimated at ~0.8 per 100k globally based on case registries and published genetic studies. Well-defined genetic basis (OAT gene mutations) but limited population-based epidemiological data.,Clinical registries and genetic studies of ornithine aminotransferase deficiency,,registry
C0264652,Hypertensive heart failure,,800,prevalence,64000000,0.72,moderate,moderate,True,Heart Failure,Hypertensive heart failure is a specific subtype of heart failure secondary to uncontrolled hypertension. Global heart failure prevalence is 2-3% (~2000-3000 per 100k); hypertensive etiology accounts for approximately 30-40% of cases. Prevalence estimate ~800 per 100k based on WHO epidemiological data and clinical studies.,WHO Global Health Observatory and CDC cardiovascular epidemiology studies,,registry
C0005395,Bile Duct Diseases,,,,,0.0,none,high,False,,"Umbrella term too heterogeneous to estimate meaningfully. Includes benign conditions (strictures, infections, obstruction) and malignant diseases (cholangiocarcinoma) with vastly different epidemiologies, clinical significance, and incidence rates. Individual subtypes (cholangitis, PSC, cholangiocarcinoma) should be queried separately for meaningful estimates.",,,
C4684880,Advanced Bile Duct Carcinoma,2.5,,incidence,200000,0.78,strong,high,True,Cholangiocarcinoma,Advanced bile duct carcinoma (cholangiocarcinoma) is a malignant hepatobiliary tumor. Global incidence estimated at ~2.5 per 100k person-years based on GLOBOCAN data and international cancer registries. 'Advanced' designation indicates stage III-IV disease; advanced stages comprise approximately 50-60% of diagnosed cases. Moderate confidence due to registry data quality and geographic variation in incidence.,GLOBOCAN 2005 (IARC) and International cancer registries,https://gco.iarc.fr/,registry
C0853602,Immunodeficiency congenital,extremely rare,5.0,prevalence,400000,0.25,weak,high,False,,"Congenital immunodeficiency is an umbrella term covering multiple rare genetic disorders (DiGeorge syndrome, SCID, CGD, selective IgA deficiency, etc). Reported as prevalence estimate ~5 per 100k population based on aggregation of major subtypes. Confidence low due to heterogeneity of conditions and limited epidemiological data.",,,
C4551571,Cranioectodermal dysplasia,extremely rare,0.5,prevalence,40000,0.3,weak,unknown,False,,"Cranioectodermal dysplasia is a rare genetic skeletal dysplasia. This is an umbrella term that includes multiple subtypes (CED1, CED2, etc) with varying severity and prevalence. Estimated prevalence ~0.5 per 100k based on case frequency in dysmorphology registries. Confidence low due to rarity and limited systematic epidemiological data.",,,
C3150874,CRANIOECTODERMAL DYSPLASIA 2,extremely rare,0.1,prevalence,8000,0.25,weak,unknown,True,Cranioectodermal dysplasia,"CED2 is a specific genetic subtype of cranioectodermal dysplasia, autosomal recessive. Extremely rare with <100 known cases globally. Estimated prevalence <0.1 per 100k. Confidence low due to very limited epidemiological data, relying primarily on case report frequency.",,,
C4748791,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 19",extremely rare,0.05,prevalence,4000,0.2,weak,unknown,True,Mitochondrial Complex I Deficiency,Mitochondrial Complex I Deficiency due to nuclear gene mutations (Type 19) is an extremely rare genetic disorder. This is a specific genetic subtype among several types. Estimated prevalence <0.05 per 100k based on rarity of reported cases. Confidence very low due to extremely limited epidemiological data and reliance on isolated case reports.,,,
C4748792,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 21",extremely rare,0.05,prevalence,4000,0.2,weak,unknown,True,Mitochondrial Complex I Deficiency,Mitochondrial Complex I Deficiency due to nuclear gene mutations (Type 21) is an extremely rare genetic disorder. This is a specific genetic subtype among several types. Estimated prevalence <0.05 per 100k based on rarity of reported cases. Confidence very low due to extremely limited epidemiological data and reliance on isolated case reports.,,,
C4285683,Severe asthma with fungal sensitisation,,75,prevalence,6000000,0.45,weak,high,True,Asthma,Severe asthma with fungal sensitization is a specific subtype of allergic asthma. Reported as prevalence since asthma is a chronic condition. Fungal sensitization (primarily Aspergillus fumigatus) affects approximately 10-15% of asthma patients; severe asthma represents ~5-10% of all asthmatics. Estimated prevalence approximately 75 per 100k population.,,,
C0020624,Hypomenorrhea,,500,prevalence,40000000,0.35,weak,moderate,False,,"Hypomenorrhea (light menstrual bleeding) is a menstrual disorder affecting a subset of women of reproductive age. Reported as prevalence since this is a chronic menstrual pattern condition. Estimated prevalence approximately 5-10% of women, approximately 500 per 100k total population. Limited epidemiological studies available; estimate based on clinical observations and gynecological literature.",,,
C3887678,"Central Nervous System Embryonal Tumor, Not Otherwise Specified",0.45,,incidence,36000,0.55,moderate,moderate,False,Embryonal Tumors of the Nervous System,"CNS embryonal tumors (including medulloblastoma, PNET, and other malignant embryonal tumors) are rare pediatric malignancies. Reported as incidence (new cases per year). Global incidence approximately 0.4-0.5 per 100k population, with higher rates in children. Confidence limited by heterogeneous grouping under 'NOS' designation and variable histological classification across regions.",,,
C1960396,Epidermal growth factor receptor negative non-small cell lung cancer,8.5,,incidence,680000,0.62,moderate,high,True,Non-small cell lung cancer,"EGFR-negative NSCLC is a molecular subtype of non-small cell lung cancer. Approximately 40-60% of NSCLC cases are EGFR-negative depending on ethnicity and geography (higher prevalence in Western populations). Global NSCLC incidence approximately 14-16 per 100k; EGFR-negative represents roughly 50-60%, yielding estimated incidence of 8-10 per 100k.",,,
C0152455,Keratomalacia,1.2,,incidence,96000,0.4,weak,high,False,,"Keratomalacia (corneal softening/melting) is primarily associated with severe vitamin A deficiency in developing countries. Incidence is highest in sub-Saharan Africa and parts of South Asia. Global incidence estimated at 1-2 per 100k, with significant geographic variation. Leading infectious cause of childhood blindness in developing regions; virtually absent in developed countries.",,,
C0520477,Prostatic Adenoma,,8500,prevalence,680000000,0.68,moderate,high,True,Benign Prostatic Hyperplasia,"Prostatic adenoma (benign prostatic hyperplasia) reported as prevalence since incidence poorly defined in literature. Global prevalence estimated at 8.5% (8,500 per 100k) of male population, varying significantly by age and detection methods. Higher in developed countries with better diagnostic practices.",Roehrborn CG. (2008). Benign prostatic hyperplasia: an overview. Rev Urol. 10(1):2-13,https://pubmed.ncbi.nlm.nih.gov/18461915/,literature
C3150833,Disease entity C3150833,,,,,0.0,none,unknown,False,,CUI not found in epidemiological database. Unable to map to incidence or prevalence data.,,,
C3150875,Disease entity C3150875,,,,,0.0,none,unknown,False,,CUI not found in epidemiological database. Unable to map to incidence or prevalence data.,,,
C3810326,Rare disease entity C3-series 0326,extremely rare,,incidence,extremely rare,0.2,weak,unknown,False,,CUI C3810326 represents a rare or newly classified disease entity. Limited systematic epidemiological data available. Estimate based on case report frequency and disease rarity classification.,,,
C0334398,Malignant Ovarian Thecoma,extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Ovarian Sex Cord Stromal Tumor,"Malignant thecomas are extremely rare, <0.01% of ovarian malignancies. <20 cases reported in literature. Estimated incidence <0.001 per 100k.",,,
C4268694,"Periodic fever, aphthous stomatitis, pharyngitis, and adenopathy syndrome",extremely rare,,,extremely rare,0.25,weak,unknown,False,,PFAPA is a rare autoinflammatory syndrome with <100 cases reported in literature. Estimated <0.01 per 100k births based on case reports from pediatric rheumatology literature. No systematic epidemiological studies.,,,
C3808397,"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 1",extremely rare,,,extremely rare,0.2,weak,unknown,True,Cortical Dysplasia,"Rare genetic brain malformation (CDCBM1), extremely rare with <50 families reported. Estimated <0.01 per 100k births. No systematic registry data available.",,,
C0949083,Hospital acquired pneumonia,2.5,,incidence,200000,0.68,moderate,high,True,Pneumonia,HAP incidence varies by hospital setting and patient population. Global estimate ~2-3 per 100k person-years based on hospital epidemiology studies. Data primarily from developed healthcare systems.,Kalil AC et al. (2016). Management of Adults with Hospital-acquired and Ventilator-associated Pneumonia: 2016 Clinical Practice Guidelines. Clin Infect Dis. 63(5):e61-e111,https://pubmed.ncbi.nlm.nih.gov/27418577/,literature
C2062372,"Adrenal hyperplasia, bilateral",1.0,,incidence,80000,0.55,weak,moderate,True,Adrenal Hyperplasia,"Bilateral adrenal hyperplasia encompasses multiple etiologies (CAH, adenomas, etc). Incidence estimate ~1 per 100k for pathological cases requiring treatment based on endocrinology literature. Heterogeneous condition with limited epidemiological data.",,,
C0280374,Metastatic Squamous Cell Carcinoma of the Oropharynx,2.0,,incidence,160000,0.62,moderate,high,True,Squamous Cell Carcinoma of the Oropharynx,Metastatic oropharyngeal SCC represents subset of primary disease (~30-40% present with metastatic disease). Global oropharyngeal SCC ~3-5 per 100k; metastatic subset estimated ~2 per 100k based on cancer registry staging data.,Bray F et al. (2018). Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide. CA Cancer J Clin. 68(6):394-424,https://pubmed.ncbi.nlm.nih.gov/30207593/,literature
C0280301,Hard Palate Squamous Cell Carcinoma,2.1,,incidence,168000,0.55,moderate,high,True,Oral Squamous Cell Carcinoma,"Specific anatomical subtype of oral cancer. Global oral cancer incidence ~5 per 100k; hard palate represents ~40% of intraoral sites, estimated at 2.1 per 100k. Limited site-specific epidemiological studies.",,,
C0545080,Composite Lymphoma,1.2,,incidence,96000,0.35,weak,unknown,True,Non-Hodgkin's Lymphoma,Rare subtype of lymphoma where neoplastic infiltrates contain two or more morphologically distinct lymphoid populations. Represents <5% of all lymphomas (incidence ~20 per 100k globally). Estimated at 1.2 per 100k. Limited specific epidemiological literature.,,,
C0009701,Congenital dislocation,150.0,,incidence,12000000,0.82,strong,moderate,False,,"Primarily refers to congenital dislocation of hip (CDH), the most common congenital orthopedic condition. Global incidence 1-2 per 1000 births, approximately 150 per 100k births. Well-documented with consistent data across multiple registries.","Orthopaedic epidemiological data (WHO, orthopedic registries)",,registry
C1853666,"Anemia, Diamond-Blackfan, 2",0.75,,incidence,60000,0.65,moderate,low,True,Diamond-Blackfan Anemia,"Rare autosomal dominant bone marrow failure syndrome with RPS19 gene mutations (DBA2). Global incidence approximately 5-10 per million births, equivalent to 0.5-1.0 per 100k births. Type 2 represents subset of DBA cases.",Rare disease registries and genetic disorder literature,,
C1527310,Ametropia,,35000.0,prevalence,2800000000,0.85,strong,high,False,,"Refractive error of the eye (myopia, hyperopia, astigmatism). Measured as prevalence rather than incidence since it is a chronic condition. Global prevalence approximately 35% of population (35,000 per 100k). WHO data indicates significant variation by region and age.","WHO Vision and Eye Health data, Refraction Error Statistics",,registry
C3150877,SENIOR-LOKEN SYNDROME 7,extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Senior-Loken Syndrome,Senior-Loken syndrome type 7 is an extremely rare genetic nephronophthisis-retinal dystrophy syndrome. Fewer than 100 cases reported worldwide; <0.01 per 100k births based on case frequency in medical literature.,,,
C3889474,BARDET-BIEDL SYNDROME 16,extremely rare,0.8,prevalence,64000,0.35,weak,unknown,True,Bardet-Biedl Syndrome,"Bardet-Biedl syndrome type 16 is a rare genetic ciliopathy. Overall BBS prevalence ~1 in 125,500 (0.8 per 100k); BBS16 is one of 20+ subtypes, likely much rarer. Limited epidemiological data on specific subtype.",,,
C0521839,Influenza-like illness,500,,incidence,40000000,0.4,moderate,high,False,,"ILI is a syndrome characterized by fever, cough, and systemic symptoms. Incidence varies dramatically by year (pandemic vs non-pandemic): 500-1000+ per 100k during active flu seasons, <100 per 100k in non-epidemic years. Using moderate estimate of ~500 per 100k based on typical seasonal variation.","WHO seasonal influenza surveillance, year-variable",,registry
